Name,Dex #,Item,Ability ,Move A,Move B,Move C,Move D,Nature,IVs *,HP,Atk,Def,Sp.Atk,Sp.Def,Speed,Notes,,,,Test,,
Bulbasaur,1,--,Overgrow,Power Whip,Leech Seed,Sleep Powder,Protect,Adamant,24,245,168,148,148,190,140,* IVs are shown for the most common value if not all IVs are equal,,,,,,
Ivysaur,2,--,Overgrow,Energy Ball,Sludge Bomb,Poison Powder,Synthesis,Modest,16,267,149,168,222,202,162,"If you spot any errors/improvements, let me (Addarash1) or Chaos_lord2 know via Twitch messages.",HP deciles (1 row is 10%),Attack deciles,Defence deciles,S.atk deciles,S.def deciles,Speed deciles
Venusaur,3,--,Overgrow,Sludge,Mega Drain,Nature Power,Grass Whistle,Rash,5,296,192,187,305,198,220,,232.1,116,122,99.1,125.1,100
Charmander,4,--,Blaze,Flare Blitz,Outrage,Will-O-Wisp,Swords Dance,Adamant,31,230,223,122,140,136,219,,250,141.6,140,116,142,124
Charmelon,5,--,Solar Power,Flamethrower,Dragon Pulse,Ancient Power,Sunny Day,Calm,31,320,147,196,196,196,203,Low stat,263.3,164.3,150,140,155.3,141
Charizard,6,--,Blaze,Wing Attack,Ember,Rock Tomb,Growl,Quiet,31,323,215,218,321,232,212,80,272,183.4,162,160.4,166,158.4
Squirtle,7,--,Torrent,Hydro Pump,Aura Sphere,Ice Beam,Mirror Coat,Modest,31,292,118,167,218,164,122,100,280.5,196,173,180,177,176
Wartortle,8,--,Rain Dish,Dive,Dig,Toxic,Rain Dance,Sassy,31,280,183,217,187,238,115,120,289,206.6,186.6,195,190,195
Blastoise,9,--,Torrent,Hydro Cannon,Zap Cannon,Flash Cannon,Withdraw,Calm,4,293,157,241,200,276,186,140,300,219,201,212,202.7,211.7
Caterpie,10,--,Shield Dust,Bug Bite,Tackle,String Shot,Snore,Adamant,31,245,174,120,68,90,147,160,317,233,218,225,220.8,228
Metapod,11,--,Shed Skin,Bug Bite,Tackle,String Shot,Iron Defense,Adamant,31,241,152,148,77,148,96,180,339.9,254,255.8,247,246.9,248.9
Butterfree,12,--,Compound Eyes,Bug Buzz,Psychic,Sleep Powder,Supersonic,Jolly,18,269,134,144,183,204,202,200,641,359,496,365,496,365
Weedle,13,--,Shield Dust,Bug Bite,Poison Sting,String Shot,--,Adamant,31,235,185,110,68,90,157,220,Average Stat:,,,,,
Kakuna,14,--,Shed Skin,Bug Bite,Poison Sting,String Shot,Iron Defense,Adamant,31,232,163,136,77,86,169,240,285.0776892,189.9820717,181.9462151,176.059761,182.5697211,176.4322709
Beedrill ,15,--,Swarm,Poison Jab,Twinneedle,Swords Dance,Toxic Spikes,Adamant,18,279,224,124,120,204,194,260,,,,,,
Pidgey,16,--,Tangled Feet,Brave Bird,Return (102),Feather Dance,Roost,Adamant,31,222,207,116,95,106,211,280,,,,,,
Pidgeotto,17,--,Tangled Feet,Air Slash,Heat Wave,Captivate,Roost,Modest,31,268,140,146,218,136,241,High stat,,,,,,
Pidgeot ,18,--,Tangled Feet,Giga Impact,Sky Attack,Mirror Move,Roost,Jolly,10,307,196,197,139,187,239,,,,,,,
Rattata,19,--,Hustle,Double-Edge,Crunch,Dig,Quick Attack,Jolly,31,202,211,106,77,106,267,,,,,,,
Raticate,20,--,Guts,Super Fang,Hyper Fang,Revenge,Flame Wheel,Adamant,15,260,229,165,108,185,239,,,,,,,
Spearow,21,--,Sniper,Double-Edge,Fly,Steel Wing,Mirror Move,Jolly,31,222,219,96,88,98,262,,,,,,,
Fearow,22,--,Sniper,Drill Peck,Giga Impact,Steel Wing,Growl,Careful,13,274,219,169,144,177,239,,,,,,,
Ekans,23,--,Intimidate,Gunk Shot,Earthquake,Seed Bomb,Glare,Careful,31,232,198,145,103,205,146,,,,,,,
Arbok,24,--,Intimidate,Poison Fang,Ice Fang,Fire Fang,Thunder Fang,Quirky,13,264,209,177,169,197,199,,,,,,,
Pikachu,25,--,Static,Thunderbolt,Surf,Signal Beam,Nasty Plot,Modest,31,229,131,104,218,124,246,,,,,,,
Raichu,26,--,Static,Thunder,Fly,Dig,Magnet Rise,Docile,9,260,215,145,215,195,235,,,,,,,
Sandshrew,27,--,Sand Veil,Earthquake,Rock Slide,X-Scissor,Swords Dance,Adamant,31,251,239,206,68,149,148,,,,,,,
Sandslash,28,--,Sand Veil,Earthquake,Strength,Poison Jab,Sandstorm,Careful,12,293,238,258,115,162,168,,,,,,,
Nidoran-F,29,--,Hustle,Poison Jab,Dig,Aerial Ace,Lovely Kiss,Adamant,31,266,212,143,104,119,161,,,,,,,
Nidorina,30,--,Rivalry,Super Fang,Sludge Bomb,Blizzard,Flatter,Modest,20,291,134,180,217,156,137,,,,,,,
Nidoqueen,31,--,Poison Point,Earthquake,Poison Jab,Icy Wind,Tail Whip,Modest,8,319,178,208,202,204,186,,,,,,,
Nidoran-M,32,--,Hustle,Poison Jab,Head Smash,Sucker Punch,Horn Drill,Jolly,31,265,182,130,104,130,188,,,,,,,
Nidorino,33,--,Rivalry,Sludge Bomb,Thunder,Horn Drill,Flatter,Modest,20,273,152,171,194,167,155,,,,,,,
Nidoking,34,--,Rivalry,Earth Power,Poison Jab,Surf,Horn Drill,Sassy,8,301,208,188,204,202,183,,,,,,,
Clefairy,35,--,Magic Guard,Hyper Voice,Ice Beam,Calm Mind,Metronome,Modest,31,313,113,164,210,194,106,,,,,,,
Clefable,36,--,Magic Guard,Strength,Meteor Mash,Copycat,Endure,Adamant,10,313,193,203,166,216,156,,,,,,,
Vulpix,37,--,Drought,Fire Blast,Energy Ball,Confuse Ray,Will-O-Wisp,Calm,31,219,106,148,183,198,198,,,,,,,
Ninetales,38,--,Flash Fire,Overheat,Dig,Grudge,Power Swap,Naughty,7,284,203,183,195,209,233,,,,,,,
Jigglypuff,39,--,Cute Charm,Seismic Toss,Perish Song,Light Screen,Reflect,Impish,31,372,126,152,113,149,76,,,,,,,
Wigglytuff,40,--,Cute Charm,Pound,Focus Punch,Shadow Ball,Sing,Adamant,31,442,262,147,167,157,126,,,,,,,
Zubat,41,--,Inner Focus,Super Fang,Brave Bird,Confuse Ray,Toxic,Jolly,31,222,189,106,86,116,229,,,,,,,
Golbat,42,--,Inner Focus,Air Slash,Giga Drain,Confuse Ray,Taunt,Hasty,31,291,165,158,180,186,253,,,,,,,
Oddish,43,--,Chlorophyll,Solar Beam,Sludge Bomb,Teeter Dance,Sunny Day,Modest,31,290,122,150,239,166,128,,,,,,,
Gloom,44,--,Chlorophyll,Energy Ball,Sludge Bomb,Moonlight,Sunny Day,Timid,17,268,155,183,213,193,135,,,,,,,
Vileplume,45,--,Effect Spore,Mega Drain,Acid,Drain Punch,Moonlight,Modest,31,313,176,227,328,237,136,,,,,,,
Paras,46,--,Dry Skin,Seed Bomb,X-Scissor,Spore,Swords Dance,Adamant,31,212,262,146,113,146,149,,,,,,,
Parasect,47,--,Dry Skin,Seed Bomb,Slash,Spore,Agility,Jolly,31,282,289,196,140,196,151,,,,,,,
Venonat,48,--,Tinted Lens,Sludge Bomb,Psychic,Sleep Powder,Morning Sun,Timid,26,257,126,131,174,141,202,,,,,,,
Venomoth,49,--,Tinted Lens,Bug Buzz,Disable,Toxic Spikes,Substitute,Bold ,12,283,151,173,218,188,218,,,,,,,
Diglett,50,--,Sand Veil,Earthquake,Rock Slide,Fissure,Memento,Jolly,31,162,209,86,95,126,317,,,,,,,
Dugtrio,51,--,Arena Trap,Dig,Stone Edge,Fissure,Stealth Rock,Jolly,16,217,202,142,127,182,310,,,,,,,
Meowth,52,--,Technician,Flail,Bite,Spite,Substitute,Adamant,27,237,203,102,100,112,256,,,,,,,
Persian,53,--,Technician,Fake Out,Headbutt,Thunderbolt,Water Pulse,Lonely,13,274,196,143,169,169,269,,,,,,,
Psyduck,54,--,Cloud Nine,Surf,Petal Dance,Disable,Yawn,Modest,24,255,138,146,198,150,160,,,,,,,
Golduck,55,--,Cloud Nine,Aqua Tail,Zen Headbutt,Cross Chop,Tail Whip,Adamant,7,298,216,189,200,193,203,,,,,,,
Mankey,56,--,Anger Point,Close Combat,Iron Tail,Smelling Salts,Substitute,Jolly,26,237,212,122,109,142,211,,,,,,,
Primeape,57,--,Vital Spirit,Cross Chop,Overheat,Thrash,Focus Energy,Modest,11,272,222,157,172,177,227,,,,,,,
Growlithe,58,--,Intimidate,Flare Blitz,Close Combat,Will-O-Wisp,Morning Sun,Jolly,31,272,197,147,158,157,217,,,,,,,
Arcanine,59,--,Intimidate,Flame Wheel,Crunch,Extreme Speed,Roar,Careful,2,313,248,188,205,206,218,,,,,,,
Poliwag,60,--,Damp,Surf,Hypnosis,Swagger,Growth,Timid,26,230,117,125,174,125,255,,,,,,,
Poliwhirl,61,--,Damp,Dive,Wake-Up Slap,Ice Ball,Hypnosis,Adamant,18,279,215,174,110,144,224,,,,,,,
Poliwrath,62,--,Water Absorb,Hydro Pump,Dynamic Punch,Mind Reader,Bulk Up,Mild,7,318,203,200,190,213,173,,,,,,,
Abra,63,--,Synchronize,Psychic,Energy Ball,Guard Swap,Swagger,Timid,25,206,63,81,261,161,279,,,,,,,
Kadabra,64,--,Magic Guard,Psychic,Shock Wave,Kinesis,Role Play,Careful,17,228,92,124,254,201,253,,,,,,,
Alakazam,65,--,Inner Focus,Psybeam,Signal Beam,Kinesis,Metronome,Impish,8,249,155,136,254,204,274,,,,,,,
Machop,66,--,No Guard,Dynamic Punch,Mega Kick,Earthquake,Bullet Punch,Brave,26,297,233,152,122,122,109,,,,,,,
Machoke,67,--,No Guard,Cross Chop,Rock Slide,Bullet Punch,Scary Face,Sassy,16,307,242,182,142,178,118,,,,,,,
Machamp,68,--,No Guard,Submission,Fire Blast,Rock Climb,Toxic,Modest,7,318,263,193,179,203,143,,,,,,,
Bellsprout,69,--,Chlorophyll,Sludge Bomb,Weather Ball,Sleep Powder,Sunny Day,Timid,31,242,167,106,239,96,196,,,,,,,
Weepinbell,70,--,Chlorophyll,Power Whip,Wring Out,Growth,Sunny Day,Modest,31,293,194,157,295,147,146,,,,,,,
Victreebel,71,--,Chlorophyll,Vine Whip,Slam,Leech Life,Tickle,Adamant,31,322,339,177,212,167,197,,,,,,,
Tentacool,72,--,Clear Body,Hydro Pump,Sludge Bomb,Blizzard,Mirror Coat,Gentle,23,234,108,88,191,273,189,,,,,,,
Tentacruel,73,--,Liquid Ooze,Muddy Water,Sludge Bomb,Barrier,Toxic Spikes,Quirky,6,297,172,162,192,272,232,,,,,,,
Geodude,74,--,Sturdy,Earthquake,Stone Edge,Sucker Punch,Explosion,Careful,31,284,197,236,86,174,76,,,,,,,
Graveler,75,--,Sturdy,Dig,Rock Slide,Rock Polish,Self-Destruct,Careful,18,263,240,278,101,151,118,,,,,,,
Golem,76,--,Sand Veil,Magnitude,Rollout,Defense Curl,Sandstorm,Gentle,31,333,256,295,146,251,126,,,,,,,
Ponyta,77,--,Flame Body,Flare Blitz,Iron Tail,Hypnosis,Morning Sun,Jolly,16,247,212,152,154,172,244,,,,,,,
Rapidash,78,--,Flash Fire,Heat Wave,Iron Tail,Stomp,Horn Drill,Hasty,7,268,233,155,193,193,267,,,,,,,
Slowpoke,79,--,Own Tempo,Aqua Tail,Zen Headbutt,Earthquake,Curse,Careful,25,336,181,181,117,144,81,,,,,,,
Slowbro,80,--,Own Tempo,Psychic,Water Pulse,Yawn,Trick Room,Naughty,8,329,202,254,234,174,94,,,,,,,
Magnemite,81,--,Sturdy,Thunderbolt,Flash Cannon,Supersonic,Thunder Wave,Rash,24,205,120,190,264,144,140,,,,,,,
Magneton,82,--,Sturdy,Discharge,Mirror Shot,Metal Sound,Supersonic,Naughty,10,241,171,226,276,158,176,,,,,,,
Farfetch'd,83,--,Inner Focus,Slash,Fly,Leaf Blade,Swords Dance,Jolly,21,252,177,172,127,171,194,,,,,,,
Doduo,84,--,Tangled Feet,Fly,Facade,Low Kick,Haze,Jolly,31,232,227,158,95,138,227,,,,,,,
Dodrio,85,--,Early Bird,Drill Peck,Tri Attack,Acupressure,Rest,Modest,11,263,212,198,172,178,216,,,,,,,
Seel,86,--,Hydration,Surf,Icy Wind,Encore,Perish Song,Bold,31,303,113,195,157,208,126,,,,,,,
Dewgong,87,--,Thick Fat,Ice Beam,Brine,Signal Beam,Aqua Ring,Bold,9,320,157,214,175,225,175,,,,,,,
Grimer,88,--,Stench,Gunk Shot,Dig,Shadow Sneak,Screech,Adamant,24,315,232,160,98,160,100,,,,,,,
Muk,89,--,Sticky Hold,Sludge,Thunder,Giga Drain,Acid Armor,Modest,7,348,199,183,179,254,133,,,,,,,
Shellder,90,--,Skill Link,Dive,Avalanche,Rock Blast,Ice Shard,Careful,26,259,193,231,108,124,111,,,,,,,
Cloyster,91,--,Skill Link,Surf,Icicle Cannon,Spike Cannon,Spikes,Gentle,5,236,242,333,180,156,171,,,,,,,
Gastly,92,--,Levitate,Sludge Bomb,Shadow Ball,Thunderbolt,Destiny Bond,Timid,25,216,108,111,251,121,232,,,,,,,
Haunter,93,--,Levitate,Night Shade,Dream Eater,Curse,Hypnosis,Timid,16,237,127,132,272,152,255,,,,,,,
Gengar,94,--,Levitate,Dark Pulse,Night Shade,Taunt,Self-Destruct,Naughty,7,258,200,153,267,164,253,,,,,,,
Onix,95,--,Sturdy,Earthquake,Stone Edge,Screech,Rock Polish,Adamant,18,209,193,364,74,124,184,,,,,,,
Drowzee,96,--,Insomnia,Shadow Ball,Dream Eater,Seismic Toss,Hypnosis,Relaxed,23,274,124,152,177,229,100,,,,,,,
Hypno,97,--,Insomnia,Psywave,Nightmare,Hypnosis,Assist,Bold,9,317,144,216,160,272,176,,,,,,,
Krabby,98,--,Shell Armor,Crabhammer,Guillotine,Amnesia,Iron Defence,Careful,24,257,239,209,71,156,130,,,,,,,
Kingler,99,--,Hyper Cutter,Crabhammer,Brick Break,Vice Grip,Tickle,Impish,9,250,295,291,121,135,185,,,,,,,
Voltorb,100,--,Aftermath,Thunder,Light Screen,Rain Dance,Explosion,Hasty,23,234,96,115,209,138,297,,,,,,,
Electrode,101,--,Soundproof,Thunder,Rollout,Charge,Self-Destruct,Timid,9,260,160,175,195,195,323,,,,,,,
Exeggcute,102,--,Chlorophyll,Giga Drain,Dream Eater,Leech Seed,Sleep Powder,Careful,31,324,116,218,140,184,116,,,,,,,
Exeggutor,103,--,Chlorophyll,Wood Hammer,Psychic,Egg Bomb,Ingrain,Careful,5,326,221,201,252,177,141,,,,,,,
Cubone,104,--,Battle Armor,Bonemerang,Icy Wind,Perish Song,Seismic Toss,Sassy,24,240,180,225,130,165,108,,,,,,,
Marowak,105,--,Rock Head,Bone Club,Take Down,Submission,Growl,Careful,31,289,252,270,122,231,140,,,,,,,
Hitmonlee,106,--,Limber,Hi Jump Kick,Vaccum Wave,Blaze Kick,Feint,Modest,11,242,249,143,117,257,211,,,,,,,
Hitmonchan,107,--,Iron Fist,Mach Punch,Ice Punch,Comet Punch,Counter,Lax,11,242,247,214,107,231,189,,,,,,,
Lickitung,108,--,Cloud Nine,Mega Kick,Power Whip,Hammer Arm,Lick,Brave,18,329,229,173,143,173,124,,,,,,,
Koffing,109,--,Levitate,Sludge Bomb,Fire Blast,Pain Split,Will-O-Wisp,Sassy,22,254,157,238,168,174,87,,,,,,,
Weezing,110,--,Levitate,Sludge Bomb,Thunder,Dark Pulse,Self-Destruct,Docile,8,269,214,274,204,174,154,,,,,,,
Rhyhorn,111,--,Reckless,Earthquake,Stone Edge,Submission,Roar,Careful,31,322,227,247,86,174,86,,,,,,,
Rhydon,112,--,Lightning Rod,Rock Blast,Megahorn,Fire Blast,Surf,Modest,31,373,266,276,207,147,137,,,,,,,
Chansey,113,--,Serene Grace,Ice Beam,Mud Bomb,Charge Beam,Sing,Bashful,31,641,46,109,148,246,157,,,,,,,
Tangela,114,--,Chlorophyll,Mega Drain,Sleep Powder,Growth,Substitute,Bold,13,274,115,295,239,140,159,,,,,,,
Kangaskhan,115,--,Scrappy,Fake Out,Dizzy Punch,Outrage,Reversal,Quiet,8,349,224,194,125,194,192,,,,,,,
Horsea,116,--,Swift Swim,Hydro Pump,Ice Beam,Smokescreen,Rain Dance,Modest,27,218,119,193,212,103,173,,,,,,,
Seadra,117,--,Sniper,Muddy Water,Dragon Breath,Toxic,Smokescreen,Hasty,13,254,169,206,229,129,229,,,,,,,
Goldeen,118,--,Swift Swim,Waterfall,Megahorn,Horn Drill,Rain Dance,Adamant,24,245,202,170,108,150,176,,,,,,,
Seaking,119,--,Lightning Rod,Hydro Pump,Poison Jab,Horn Drill,Agility,Quiet,12,303,222,168,195,198,147,,,,,,,
Staryu,120,--,Illuminate,Hydro Pump,Thunder,Psychic,Pain Split,Timid,31,201,113,183,218,183,238,,,,,,,
Starmie,121,--,Natural Cure,Psychic,Water Pulse,Power Gem,Camouflage,Impish,5,256,181,221,207,201,261,,,,,,,
Mr. Mime,122,--,Filter,Psybeam,Focus Blast,Magical Leaf,Reflect,Bold,11,222,114,183,237,277,217,,,,,,,
Scyther,123,--,Technician,X-Scissor,Wing Attack,False Swipe,Focus Energy,Quirky,7,278,253,193,143,193,243,,,,,,,
Jynx,124,--,Dry Skin,Psychic,Icy Wind,Lick,Sweet Kiss,Jolly,11,272,137,107,240,227,249,,,,,,,
Electabuzz,125,--,Static,Thunder Punch,Dynamic Punch,Ice Punch,Thunder Wave,Naive,8,269,200,148,224,183,268,,,,,,,
Magmar,126,--,Flame Body,Flamethrower,Focus Blast,Smokescreen,Confuse Ray,Timid,8,269,201,148,234,204,242,,,,,,,
Pinsir,127,--,Mold Breaker,X-Scissor,Vital Throw,Rock Throw,Guillotine,Bold,7,268,254,256,143,173,203,,,,,,,
Tauros,128,--,Anger Point,Horn Attack,Zen Headbutt,Rock Slide,Endure,Adamant,8,289,257,224,102,174,254,,,,,,,
Magikarp,129,--,Swift Swim,Splash,Hydro Pump,Bounce,Dragon Rage,Modest,31,181,50,146,141,76,259,,,,,,,
Gyarados,130,--,Intimidate,Aqua Tail,Hyper Beam,Twister,Taunt,Modest,0,300,229,163,240,205,179,,,,,,,
Lapras,131,--,Shell Armor,Surf,Avalanche,Strength,Captivate,Adamant,4,395,220,190,180,220,150,,,,,,,
Ditto,132,Quick Powder,Limber,Transform,--,--,--,Timid,27,296,115,128,128,128,210,,,,,,,
Eevee,133,--,Adaptability,Take Down,Iron Tail,Quick Attack,Curse,Jolly,31,298,209,153,113,166,160,,,,,,,
Vaporeon,134,--,Water Absorb,Muddy Water,Shadow Ball,Fake Tears,Acid Armor,Bashful,0,370,135,125,225,195,135,,,,,,,
Jolteon,135,--,Volt Absorb,Discharge,Last Resort,Sand Attack,Tickle,Hardy,5,266,161,151,251,221,291,,,,,,,
Flareon,136,--,Flash Fire,Fire Fang,Take Down,Tail Whip,Will-O-Wisp,Impish,5,266,291,166,198,251,161,,,,,,,
Porygon,137,--,Download,Tri Attack,Iron Tail,Conversion 2,Pain Split,Relaxed,0,240,156,262,206,249,76,,,,,,,
Omanyte,138,--,Swift Swim,Surf,Ancient Power,Ice Beam,Rain Dance,Quirky,31,230,116,245,239,182,145,,,,,,,
Omastar,139,--,Shell Armor,Muddy Water,Ancient Power,Mud Shot,Captivate,Quirky,8,279,154,284,264,174,144,,,,,,,
Kabuto,140,--,Battle Armor,Waterfall,Rock Slide,Aqua Jet,Confuse Ray,Careful,31,243,238,216,131,184,146,,,,,,,
Kabutops,141,--,Battle Armor,Aqua Tail,Ancient Power,X-Scissor,Aqua Jet,Modest,29,274,237,244,198,193,194,,,,,,,
Aerodactyl,142,--,Pressure,Rock Slide,Aerial Ace,Supersonic,Stealth Rock,Docile,6,297,242,162,152,182,292,,,,,,,
Snorlax,143,--,Thick Fat,Pay Day,Rock Smash,Lick,Curse,Adamant,24,454,350,159,149,249,97,,,,,,,
Articuno ,144,--,Pressure,Blizzard,Pluck,Ancient Power,Mist,Quirky,0,311,196,226,216,276,196,,,,,,,
Zapdos,145,--,Pressure,Thunder,Peck,Rock Smash,Detect,Adamant,0,290,272,175,229,185,238,,,,,,,
Moltres,146,--,Pressure,Fire Blast,Wing Attack,Steel Wing,Agility,Adamant,0,311,248,206,248,196,208,,,,,,,
Dratini,147,--,Shed Skin,Outrage,Extreme Speed,Waterfall,Dragon Dance,Adamant,31,265,203,147,136,141,157,,,,,,,
Dragonair,148,--,Shed Skin,Draco Meteor,Fire Blast,Extremespeed,Safeguard,Bold,15,268,188,188,181,181,181,,,,,,,
Dragonite,149,--,Inner Focus,Dragon Rush,Zap Cannon,Surf,Defog,Modest,0,292,245,195,225,205,165,,,,,,,
Mewtwo,150,--,Pressure,Psycho Cut,Me First,Disable,Miracle Eye,Hardy,0,334,237,197,325,197,277,,,,,,,
Mew,151,--,Synchronize,Psychic,Me First,Transform,Metronome,Quirky,0,330,225,225,225,225,225,,,,,,,
Chikorita,152,--,Overgrow,Energy Ball,Leech Seed,Counter,Light Screen,Calm,31,294,120,167,134,251,126,,,,,,,
Bayleef,153,--,Overgrow,Seed Bomb,Body Slam,Nature Power,Swords Dance,Adamant,31,300,200,218,145,218,178,,,,,,,
Meganium,154,--,Overgrow,Frenzy Plant,Iron Tail,Outrage,Sweet Scent,Brave,5,296,214,231,197,231,171,,,,,,,
Cyndaquil,155,--,Blaze,Eruption,Blast Burn,Flamethrower,Will-O-Wisp,Modest,31,241,126,122,194,157,229,,,,,,,
Quilava,156,--,Blaze,Flare Blitz,Reversal,Endure,Howl,Impish,31,282,189,193,176,193,221,,,,,,,
Typhlosion,157,--,Blaze,Flame Wheel,Crush Claw,Thunder Punch,Low Kick,Careful,4,295,202,190,204,224,234,,,,,,,
Totodile,158,--,Torrent,Waterfall,Ice Punch,Swords Dance,Dragon Dance,Adamant,31,266,212,189,111,157,147,,,,,,,
Croconaw,159,--,Torrent,Dive,Slash,Ice Fang,Screech,Jolly,16,272,202,202,144,168,173,,,,,,,
Feraligatr,160,--,Torrent,Aqua Tail,Dynamic Punch,Ice Beam,Leer,Calm,4,305,216,230,188,215,186,,,,,,,
Sentret,161,--,Keen Eye,Double-Edge,Aqua Tail,Sucker Punch,Reversal,Adamant,31,274,140,167,95,127,76,,,,,,,
Furret,162,--,Keen Eye,Headbutt,Ice Punch,Thunder Punch,Me First,Mild,15,300,193,154,172,135,225,,,,,,,
Hoothoot,163,--,Tinted Lens,Air Slash,Agility,Hypnosis,Whirlwind,Timid,31,262,86,96,171,148,218,,,,,,,
Noctowl,164,--,Tinted Lens,Air Cutter,Hyper Beam,Dream Eater,Hypnosis,Timid,13,344,125,139,191,231,196,,,,,,,
Ledyba,165,--,Swarm,Bug Buzz,Air Cutter,Light Screen,Reflect,Timid,29,220,66,94,177,194,227,,,,,,,
Ledian,166,--,Iron Fist,Aerial Ace,Drain Punch,Ice Punch,Thunder Punch,Adamant,31,283,185,168,131,256,206,,,,,,,
Spinarak,167,--,Sniper,Megahorn,Night Slash,Sucker Punch,Night Shade,Adamant,31,289,189,140,104,140,96,,,,,,,
Ariados,168,--,Swarm,Poison Jab,Bug Bite,Dig,Agility,Lonely,18,289,246,175,143,175,124,,,,,,,
Crobat,169,--,Inner Focus,Fly,Poison Fang,Steel Wing,Supersonic,Serious,4,305,210,190,170,190,290,,,,,,,
