Name,Dex #,Item,Ability ,Move A,Move B,Move C,Move D,Nature,IVs *,HP,Atk,Def,Sp.Atk,Sp.Def,Speed,Notes,,,,Test,,
Chinchou,170,--,Water Absorb,Thunder,Surf,Icy Wind,Rain Dance,Calm,31,322,100,150,153,185,202,,,,,,,
Lanturn,171,--,Volt Absorb,Bubble Beam,Spark,Bounce,Charge,Lonely,11,392,168,137,189,189,171,,,,,,,
Pichu,172,--,Static,Volt Tackle,Reversal,Teeter Dance,Substitute,Jolly,31,181,179,66,95,107,240,,,,,,,
Cleffa,173,--,Cute Charm,Seismic Toss,Shadow Ball,Thunder Wave,Swagger,Calm,31,297,77,153,126,167,70,,,,,,,
Igglybuff,174,--,Cute Charm,Seismic Toss,Shadow Ball,Counter,Sweet Kiss,Bold,31,384,86,72,117,139,66,,,,,,,
Togepi,175,--,Super Luck,Seismic Toss,Yawn,Foresight,Soft-Boiled,Calm,31,274,68,207,116,207,76,,,,,,,
Togetic,176,--,Serene Grace,Tri Attack,Air Cutter,Ancient Power,Metronome,Quirky,16,257,122,212,202,252,122,,,,,,,
Natu,177,--,Synchronize,Psychic,Night Shade,Confuse Ray,Wish,Timid,31,284,122,126,198,126,239,,,,,,,
Xatu,178,--,Early Bird,Drill Peck,Psychic,Giga Drain,Psycho Shift,Impish,10,271,186,193,203,176,226,,,,,,,
Mareep,179,--,Static,Thunderbolt,Signal Beam,Thunder Wave,Reflect,Modest,28,277,101,130,248,141,103,,,,,,,
Flaaffy,180,--,Static,Thunder Punch,Focus Punch,Fire Punch ,Flatter,Adamant,31,281,229,178,176,188,126,,,,,,,
Ampharos,181,--,Static,Zap Cannon,Dynamic Punch,Swift,Flash,Careful,28,330,195,175,247,247,155,,,,,,,
Bellossom,182,--,Chlorophyll,Petal Dance,Secret Power,Drain Punch,Teeter Dance,Quiet,9,290,195,216,236,246,102,,,,,,,
Marill,183,--,Huge Power,Waterfall,Body Slam,Rollout,Defense Curl,Adamant,31,302,152,157,68,157,116,,,,,,,
Azumarill,184,--,Huge Power,Aqua Tail,Superpower,Rollout,Grass Knot,Timid,8,319,120,183,176,183,146,,,,,,,
Sudowoodo,185,--,Rock Head,Stone Edge,Wood Hammer,Hammer Arm,Copycat,Hardy,16,287,242,272,102,172,102,,,,,,,
Politoed,186,--,Drizzle,Water Pulse,Hyper Voice,Mud Shot,Perish Song,Bold,7,318,164,201,213,233,173,,,,,,,
Hoppip,187,--,Chlorophyll,Solar Beam,Toxic ,Sunny Day,Synthesis,Calm,31,274,95,147,106,181,150,,,,,,,
Skiploom,188,--,Chlorophyll,Seed Bomb,Bounce,Sleep Powder,Memento,Adamant,22,243,198,127,105,157,250,,,,,,,
Jumpluff,189,--,Leaf Guard,Bounce,Headbutt,Leech Seed,Poison Powder,Adamant,8,293,185,178,114,208,258,,,,,,,
Aipom,190,--,Skill Link,Double Slap,Brick Break,Shadow Claw,Tickle,Serious,31,273,239,146,116,167,227,,,,,,,
Sunkern,191,--,Chlorophyll,Energy Ball,Leech Seed,Substitute,Grass Whistle,Timid,31,201,86,128,96,128,174,,,,,,,
Sunflora,192,--,Early Bird,Giga Drain,Earth Power,Giga Impact,Bide,Calm,31,312,186,167,267,249,117,,,,,,,
Yanma,193,--,Speed Boost,Bug Buzz,Air Slash,Hypnosis,Detect,Impish,18,279,174,147,174,134,234,,,,,,,
Wooper,194,--,Unaware,Earthquake,Aqua Tail,Yawn,Protect,Adamant,31,272,207,137,77,118,66,,,,,,,
Quagsire,195,--,Damp,Muddy Water,Dig,Ice Beam,Amnesia,Quirky,14,335,210,210,170,170,110,,,,,,,
Espeon,196,--,Synchronize,Psybeam,Swift,Attract,Sand Attack,Impish,5,266,161,166,261,221,251,,,,,,,
Umbreon,197,--,Synchronize,Assurance,Psychic,Confuse Ray,Snatch,Quiet,20,320,192,245,200,285,121,,,,,,,
Murkrow,198,--,Insomnia,Fly,Sucker Punch,Heat Wave,Feather Dance,Hasty,16,267,212,113,212,126,246,,,,,,,
Slowking,199,--,Oblivious,Surf,Confusion,Power Gem ,Thunder Wave,Lonely,8,329,202,174,234,254,94,,,,,,,
Misdreavus,200,--,Levitate,Shadow Ball,Thunderbolt,Pain Split,Perish Song,Docile,13,264,159,159,209,209,209,,,,,,,
Unown,201,Choice Specs,Levitate,HP Psychic 70,--,--,--,Modest,22,244,154,140,258,140,139,,,,,,,
Wobbuffet,202,--,Shadow Tag,Counter,Mirror Coat,Safeguard,Mimic,Naive,31,521,134,136,134,136,181,,,,,,,
Girafarig,203,--,Early Bird,Psybeam,Double Hit,Double Kick,Growl,Bashful,31,344,196,198,216,198,206,,,,,,,
Pineco,204,--,Sturdy,Gyro Ball,Earthquake,Curse,Explosion,Brave,31,260,251,216,106,151,31,,,,,,,
Forretress,205,--,Sturdy,Pin Missile,Spikes,Toxic Spikes,Self-Destruct,Hardy,31,323,185,316,125,219,85,,,,,,,
Dunsparce,206,--,Serene Grace,Strength,Dig,Rock Slide,Glare,Quirky,15,346,181,181,171,171,131,,,,,,,
Gligar,207,--,Hyper Cutter,Dig,Toxic,Swagger,Torment,Timid,31,334,139,246,106,191,269,,,,,,,
Steelix,208,--,Sturdy,Iron Tail,Dig,Aqua Tail,Sharpen,Modest,6,287,181,411,179,162,92,,,,,,,
Snubbull,209,--,Intimidate,Smelling Salts,Bite,Attract,Thunder Wave,Careful,31,297,196,156,104,182,117,,,,,,,
Granbull,210,--,Quick Feet,Facade,Superpower,Payback,Sleep Talk,Naive,12,323,278,188,158,142,140,,,,,,,
Qwilfish,211,--,Poison Point,Waterfall,Poison Jab,Pin Missile,Minimize,Naughty,14,275,253,190,150,135,210,,,,,,,
Scizor,212,--,Technician,X-Scissor,Metal Claw,Superpower,Agility,Timid,0,250,238,205,115,165,148,,,,,,,
Shuckle ,213,--,Sturdy,Stone Edge,Gyro Ball,Bide,Power Trick,Brave,31,244,130,496,56,496,13,,,,,,,
Heracross,214,--,Swarm,Megahorn,Arm Thrust,Leer,Harden,Modest,0,292,229,176,93,216,175,,,,,,,
Sneasel,215,--,Keen Eye,Ice Punch,Bite,X-Scissor,Attract,Brave,14,255,253,150,110,190,243,,,,,,,
Teddiursa,216,--,Quick Feet,Flail,Thunder Punch,Yawn,Endure,Jolly,31,286,221,161,122,161,157,,,,,,,
Ursaring,217,--,Guts,Scratch,Lick,Bulk Up,Roar,Hasty,31,343,359,186,186,207,190,,,,,,,
Slugma,218,--,Magma Armor,Flamethrower,Yawn,Protect,Recover,Modest,31,238,104,162,212,162,76,,,,,,,
Magcargo,219,--,Flame Body,Fire Blast,Ancient Power,Earth Power,Memento,Calm,16,247,108,283,223,245,81,,,,,,,
Swinub,220,--,Thick Fat,Earthquake,Avalanche,Ice Shard,Endeavor,Adamant,31,282,173,148,86,128,136,,,,,,,
Piloswine,221,--,Oblivious,Icy Wind,Mud Shot,Bite,Rock Tomb,Quiet,31,401,236,216,201,176,122,,,,,,,
Corsola,222,--,Hustle,Stone Edge,Surf,Mirror Coat,Attract,Quiet,19,260,175,215,192,215,85,,,,,,,
Remoraid,223,--,Sniper,Water Spout,Brine,Hyper Beam,Flamethrower,Timid,26,207,144,101,224,101,246,,,,,,,
Octillery,224,--,Suction Cups,Octazooka,Rock Blast,Wring Out,Thunder Wave,Sassy,31,314,275,209,275,229,113,,,,,,,
Delibird,225,--,Hustle,Ice Punch,Aerial Ace,Brick Break,Ice Shard,Adamant,31,253,229,126,149,126,228,,,,,,,
Mantine,226,--,Water Veil,Bubble Beam,Bounce,Psybeam,Haze,Brave,10,271,150,176,196,295,198,,,,,,,
Skarmory,227,--,Keen Eye,Steel Wing,Toxic,Whirlwind,Spikes,Gentle,10,271,196,284,116,193,176,,,,,,,
Houndour,228,--,Flash Fire,Overheat,Dark Pulse,Solarbeam,Sunny Day,Timid,31,253,140,117,238,156,228,,,,,,,
Houndoom,229,--,Early Bird,Heat Wave,Bite,Thunder Fang,Roar,Impish,7,288,213,146,227,193,223,,,,,,,
Kingdra,230,--,Sniper,Water Gun,Razor Wind,Focus Energy,Substitute,Bashful,31,325,226,246,258,246,227,,,,,,,
Phanpy,231,--,Sand Veil,Earthquake,Body Slam,Double Team,Sandstorm,Jolly,31,321,190,187,104,148,160,,,,,,,
Donphan,232,--,Sturdy,Magnitude,Ice Shard,Rapid Spin,Stealth Rock,Careful,7,318,273,273,137,168,133,,,,,,,
Porygon2,233,--,Trace,Tri Attack,Discharge,Toxic,Magic Coat,Docile,6,307,192,212,242,222,152,,,,,,,
Stantler,234,--,Intimidate,Stomp,Shadow Ball,Zen Headbutt,Hypnosis,Quirky,10,287,226,160,206,166,206,,,,,,,
Smeargle ,235,--,Technician,Crush Grip,Shadow Force,Sacred Fire,Dark Void,Adamant,31,252,152,106,68,126,249,,,,,,,
Tyrogue,236,--,Guts,High Jump Kick,Earthquake,Rock Slide,Swagger,Adamant,31,211,185,106,95,106,169,,,,,,,
Hitmontop,237,--,Technician,Triple Kick,Aerial Ace,Bullet Punch,Pursuit,Hardy,29,239,224,224,104,254,174,,,,,,,
Smoochum,238,--,Oblivious,Ice Beam,Psychic,Calm Mind,Nasty Plot,Timid,31,263,86,98,228,175,217,,,,,,,
Elekid,239,--,Static,Thunderbolt,Ice Punch,Flash,Light Screen,Lonely,20,221,189,108,196,156,236,,,,,,,
Magby,240,--,Flame Body,Flamethrower,Cross Chop,Confuse Ray,Smokescreen,Naive,20,231,196,120,196,140,233,,,,,,,
Miltank,241,--,Scrappy,Present,Rollout,Milk Drink,Bide,Adamant,8,329,259,223,83,174,234,,,,,,,
Blissey,242,--,Serene Grace,Hyper Beam,Blizzard,Gravity,Refresh,Bold,0,620,22,85,175,284,160,,,,,,,
Raikou,243,--,Pressure,Thundershock,Bite,Flash,Roar,Rash,0,300,200,170,360,195,235,,,,,,,
Entei,244,--,Pressure,Ember,Stomp,Rock Smash,Roar,Modest,0,371,239,206,306,186,236,,,,,,,
Suicune,245,--,Pressure,Water Gun,Gust,Mist,Roar,Quiet,0,344,189,269,240,269,188,,,,,,,
Larvitar,246,--,Guts,Earthquake,Stone Edge,Bite,Dragon Dance,Jolly,31,300,207,136,113,136,156,,,,,,,
Pupitar,247,--,Shed Skin,Dig,Rock Slide,Rest,Rock Polish,Bold,31,344,183,217,166,217,138,,,,,,,
Tyranitar ,248,--,Sand Stream,Bite,Rock Tomb,Fire Fang,Leer,Naive,0,310,273,225,195,184,154,,,,,,,
Lugia,249,--,Pressure,Aeroblast,Future Sight,Defog,Mimic,Naughty,0,322,203,265,185,281,225,,,,,,,
Ho-Oh ,250,--,Pressure,Heat Wave,Weather Ball,Sandstorm,Tailwind,Impish,0,322,265,203,202,313,185,,,,,,,
Celebi,251,--,Natural Cure,Magical Leaf,Confusion,Water Pulse,Metronome,Bashful,0,330,225,225,225,225,225,,,,,,,
Treecko,252,--,Overgrow,Leaf Storm,Energy Ball,Dragonbreath,Endure,Timid,31,222,113,106,229,146,262,,,,,,,
Grovyle,253,--,Overgrow,Seed Bomb,X-Scissor,Thunder Punch,Swords Dance,Adamant,31,262,228,147,185,187,247,,,,,,,
Sceptile,254,--,Overgrow,Leaf Blade,Dragon Claw,Aerial Ace,Safeguard,Hardy,4,275,210,160,230,200,270,,,,,,,
Torchic,255,--,Speed Boost,Overheat,Dig,Low Kick,Protect,Rash,31,238,191,116,240,122,168,,,,,,,
Combusken,256,--,Speed Boost,Flamethrower,Sky Uppercut,Night Slash,Rock Slide,Hardy,31,282,227,177,227,177,167,,,,,,,
Blaziken,257,--,Speed Boost,Blaze Kick,Double Kick,Mirror Move,Protect,Timid,0,295,243,170,250,170,209,,,,,,,
Mudkip,258,--,Torrent,Waterfall,Superpower,Avalanche,Attract,Adamant,0,262,262,157,122,157,116,,,,,,,
Marshtomp,259,--,Torrent,Muddy Water,Earthquake,Sludge,Barrier,Modest,16,287,171,182,201,182,142,,,,,,,
Swampert,260,--,Torrent,Dive,Mud Bomb,Ice Ball,Mirror Coat,Modest,4,335,225,210,220,210,150,,,,,,,
Poochyena,261,--,Quick Feet,Super Fang,Sucker Punch,Snatch,Swagger,Adamant,31,232,229,127,86,117,106,,,,,,,
Mightyena,262,--,Intimidate,Crunch,Fire Fang,Roar,Howl,Jolly,15,286,221,181,144,161,199,,,,,,,
Zigzagoon,263,--,Gluttony,Super Fang,Extremespeed,Odor Sleuth,Belly Drum,Adamant,31,279,174,119,86,119,156,,,,,,,
Linoone,264,--,Pickup,Headbutt,Pursuit,Flail,Belly Drum,Jolly,15,302,181,163,126,163,265,,,,,,,
Wurmple,265,--,Shield Dust,Bug Bite,Poison Sting,Tackle,String Shot,Adamant,31,247,207,122,68,112,92,,,,,,,
Silcoon,266,--,Shed Skin,Bug Bite,Poison Sting,Harden,String Shot,Adamant,31,262,185,167,77,107,66,,,,,,,
Beautifly,267,--,Rivalry,Bug Buzz,Psychic ,Whirlwind,Morning Sun,Modest,31,324,158,157,260,136,187,,,,,,,
Cascoon,268,--,Shed Skin,Bug Bite,Poison Sting,Harden,String Shot,Adamant,31,262,185,167,77,107,66,,,,,,,
Dustox,269,--,Shield Dust,Sludge Bomb,Psychic,Light Screen,Moonlight,Modest,31,284,122,199,174,239,189,,,,,,,
Lotad,270,--,Swift Swim,Surf,Energy Ball,Blizzard,Rain Dance,Modest,31,243,86,117,173,149,124,,,,,,,
Lombre,271,--,Rain Dish,Hydro Pump,Leech Seed,Rain Dance,Protect,Calm,31,324,122,158,156,239,136,,,,,,,
Ludicolo,272,--,Own Tempo,Bubble Beam,Giga Drain,Leech Seed,Metronome,Docile,9,300,175,175,215,235,175,,,,,,,
Seedot,273,--,Chlorophyll,Seed Bomb,Sunny Day,Swords Dance,Explosion,Adamant,31,221,196,136,86,96,159,,,,,,,
Nuzleaf,274,--,Chlorophyll,Energy Ball,Dark Pulse,Nasty Plot,Sunny Day,Timid,22,293,151,128,188,128,184,,,,,,,
Shiftry,275,--,Early Bird,Leaf Storm,Feint Attack,Nature Power,Tailwind,Adamant,9,320,258,155,193,155,195,,,,,,,
Taillow,276,--,Guts,Brave Bird,Return (102),Steel Wing,Supersonic,Adamant,31,243,229,96,86,96,248,,,,,,,
Swellow,277,--,Scrappy,Air Slash,Hyper Beam,Heat Wave,Ominous Wind,Modest,31,283,185,177,218,157,286,,,,,,,
Wingull,278,--,Rain Dish,Air Slash,Water Pulse,Blizzard,Tailwind,Modest,31,222,86,96,229,96,269,,,,,,,
Pelipper,279,--,Keen Eye,Brine,Air Cutter,Spit Up,Stockpile,Calm,14,265,107,240,210,200,190,,,,,,,
Ralts,280,--,Synchronize,Psychic,Signal Beam,Taunt,Destiny Bond,Timid,31,198,77,86,189,106,196,,,,,,,
Kirlia,281,--,Trace,Psychic,Shadow Ball,Will-O-Wisp,Calm Mind,Modest,28,235,111,124,202,164,154,,,,,,,
Gardevoir,282,--,Trace,Psychic,Magical Leaf,Shadow Sneak,Magic Coat,Adamant,5,272,177,161,252,261,191,,,,,,,
Surskit,283,--,Swift Swim,Hydro Pump,Signal Beam,Ice Beam,Rain Dance,Modest,31,263,86,122,218,140,166,,,,,,,
Masquerain,284,--,Intimidate,Bug Buzz,Air Slash,Hydro Pump,Roost,Calm,15,286,144,165,201,225,161,,,,,,,
Shroomish,285,--,Poison Heal,Seed Bomb,Focus Punch,Spore,Swords Dance,Adamant,31,321,196,158,104,158,106,,,,,,,
Breloom,286,--,Technician,Superpower,Giga Drain,Mach Punch,Stun Spore,Mild,11,262,276,177,195,157,177,,,,,,,
Slakoth,287,--,Truant,Double-Edge,Hammer Arm,Night Slash,Yawn,Adamant,31,283,240,156,95,127,117,,,,,,,
Vigoroth,288,--,Vital Spirit,Slash,Shadow Claw,Low Kick,Taunt,Adamant,13,304,218,199,134,149,219,,,,,,,
Slaking,289,--,Truant,Strength,Punishment,Yawn,Slack Off,Hasty,0,431,346,203,216,156,248,,,,,,,
Nincada,290,--,Compound Eyes,X-Scissor,Dig,Night Slash,Swagger,Adamant,31,266,207,216,86,97,116,,,,,,,
Ninjask,291,--,Speed Boost,Bug Bite,Aerial Ace,Dig,Swords Dance,Quiet,31,305,216,168,149,178,320,,,,,,,
Shedinja*,292,--,Wonder Guard,X-Scissor,Shadow Sneak,Will-O-Wisp,Curse,Adamant,31,1,260,147,105,117,137,,,,,,,
Whismur,293,--,Soundproof,Hyper Voice,Blizzard,Fire Blast,Shadow Ball,Modest,31,285,124,98,221,98,108,,,,,,,
Loudred,294,--,Soundproof,Hyper Voice,Overheat,Extrasensory,Fake Tears,Modest,31,334,160,147,225,147,157,,,,,,,
Exploud,295,--,Scrappy,Hammer Arm,Snore,Fake Tears,Rest,Modest,31,370,196,183,309,183,172,,,,,,,
Makuhita,296,--,Thick Fat,Revenge,Reversal,Feint Attack,Bullet Punch,Adamant,31,306,240,117,68,117,86,,,,,,,
Hariyama,297,--,Guts,Wake-Up Slap,Smelling Salts,Secret Power,Payback,Jolly,10,408,277,156,104,156,172,,,,,,,
Azurill,298,--,Huge Power,Body Slam,Waterfall,Attract,Charm,Adamant,31,262,152,137,68,137,76,,,,,,,
Nosepass,299,--,Sturdy,Stone Edge,Zap Cannon,DynamicPunch,Gravity,Sassy,31,264,147,306,147,261,86,,,,,,,
Skitty,300,--,Normalize,Zen Headbutt,Attract,Swagger,Thunder Wave,Careful,31,283,156,150,95,150,136,,,,,,,
Delcatty,301,--,Cute Charm,Assist,Copycat,Charm,Sing,Rash,31,281,198,166,195,131,239,,,,,,,
Sableye,302,--,Stall,Payback,Octazooka,Magic Coat,Snatch,Quiet,31,304,186,197,228,177,122,,,,,,,
Mawile,303,--,Intimidate,Iron Head,Fire Fang,Stockpile,Swallow,Jolly,19,250,215,215,139,155,159,,,,,,,
Aron,304,--,Rock Head,Head Smash,Iron Head,Superpower,Rock Polish,Jolly,31,266,201,261,104,141,135,,,,,,,
Lairon,305,--,Sturdy,Iron Tail,Stone Edge,Dragon Rush,Metal Burst,Careful,31,324,216,316,122,173,158,,,,,,,
Aggron,306,--,Sturdy,Flash Cannon,Ancient Power,Flamethrower,Metal Sound,Modest,14,286,202,379,222,161,139,,,,,,,
Meditite,307,--,Pure Power,High Jump Kick,Zen Headbutt,Bullet Punch,Meditate,Jolly,28,219,134,164,120,164,191,,,,,,,
Medicham,308,--,Pure Power,Fake Out,Psycho Cut,Force Palm,Power Trick,Bold,16,267,126,234,141,213,202,,,,,,,
Electrike,309,--,Static,Thunderbolt,Flamethrower,Mud-Slap,Charge,Timid,31,242,113,116,229,116,229,,,,,,,
Manectric,310,--,Static,Shock Wave,Fire Fang,Roar,Magnet Rise,Adamant,31,296,224,171,234,171,261,,,,,,,
Plusle,311,--,Plus,Discharge,Grass Knot,Charge Beam,Encore,Timid,16,267,127,122,212,192,255,,,,,,,
Minun,312,--,Minus,Thunder,Grass Knot,Trump Card,Fake Tears,Timid,16,267,109,142,192,212,255,,,,,,,
Volbeat,313,--,Swarm,Silver Wind,Zen Headbutt,Tail Glow,Moonlight,Serious,17,278,189,153,137,193,213,,,,,,,
Illumise,314,--,Tinted Lens,Bug Buzz,Shock Wave,Growth,Moonlight,Timid,17,278,123,153,189,193,234,,,,,,,
Roselia,315,--,Poison Point,Petal Dance,Extrasensory,Grass Whistle,Synthesis,Relaxed,17,248,163,146,243,205,155,,,,,,,
Gulpin,316,--,Liquid Ooze,Gunk Shot,Dynamic Punch,Pain Split,Yawn,Adamant,26,297,168,158,110,158,132,,,,,,,
Swalot,317,--,Liquid Ooze,Sludge Bomb,Seed Bomb,Fire Punch,Curse,Quiet,10,341,182,202,200,202,131,,,,,,,
Carvanha,318,--,Speed Boost,Crunch,Waterfall,Destiny Bond,Protect,Bold,31,231,232,113,166,113,186,,,,,,,
Sharpedo,319,--,Speed Boost,Hydro Pump,Bite,Ice Fang,Endure,Bashful,11,282,277,117,227,117,227,,,,,,,
Wailmer,320,--,Water Veil,Water Spout ,Blizzard,Fissure,Self-Destruct,Naive,17,408,183,113,183,101,179,,,,,,,
Wailord ,321,--,Water Veil,Water Spout ,Bounce,Iron Head,Growl,Brave,31,481,203,189,185,189,112,,,,,,,
Numel,322,--,Simple,Flamethrower,Earthquake,Double Team,Stockpile,Timid,31,277,140,132,182,142,185,,,,,,,
Camerupt,323,--,Solid Rock,Eruption,Flamethrower,Magnitude,Fissure,Docile,11,282,237,177,247,187,117,,,,,,,
Torkoal,324,Grip Claw,White Smoke,Fire Spin,Earthquake,Toxic,Protect,Calm,31,344,185,316,249,216,76,,,,,,,
Spoink,325,--,Thick Fat,Psychic,Signal Beam,Magic Coat,Calm Mind,Careful,31,283,86,106,177,284,177,,,,,,,
Grumpig,326,--,Own Tempo,Focus Blast,Energy Ball,Power Gem,Reflect,Bashful,10,301,126,166,216,256,196,,,,,,,
Spinda,327,--,Tangled Feet,Thrash,Sucker Punch,Drain Punch,Teeter Dance,Adamant,31,303,194,177,140,177,177,,,,,,,
Trapinch,328,--,Hyper Cutter,Earthquake,Crunch,Fissure,Sand Attack,Adamant,27,248,278,143,128,143,73,,,,,,,
Vibrava,329,--,Levitate,Outrage,Dig,Fly,Tailwind,Adamant,22,253,206,148,133,148,188,,,,,,,
Flygon,330,--,Levitate,Draco Meteor,Earthquake,Gust,Sandstorm,Timid,5,296,207,191,191,191,254,,,,,,,
Cacnea,331,--,Sand Veil,Seed Bomb,Focus Punch,Mud-Slap,Sandstorm,Sassy,23,254,219,129,219,141,107,,,,,,,
Cacturne,332,--,Sand Veil,Needle Arm,Payback,Cotton Spore,Sandstorm,Bashful,9,280,265,155,265,155,145,,,,,,,
Swablu,333,--,Cloud Nine,Fly,Sing,Roost,Perish Song,Adamant,31,273,150,188,104,218,136,,,,,,,
Altaria,334,--,Cloud Nine,Sky Attack,Draco Meteor,Heat Wave,Dragon Dance,Bashful,0,275,160,200,160,230,180,,,,,,,
Zangoose,335,--,Immunity,Crush Claw,Shadow Claw,Metal Claw,Counter,Serious,11,288,267,157,157,157,217,,,,,,,
Seviper,336,--,Shed Skin,Poison Tail,Aqua Tail,Glare,Screech,Adamant,11,288,260,157,213,157,167,,,,,,,
Lunatone,337,--,Levitate,Psychic,Ancient Power,Calm Mind,Trick Room,Brave,13,284,185,169,229,209,143,,,,,,,
Solrock,338,--,Levitate,Stone Edge,Zen Headbutt,Will-O-Wisp,Cosmic Power,Quiet,13,284,249,209,163,169,143,,,,,,,
Barboach,339,--,Oblivious,Aqua Tail,Magnitude,Fissure,Dragon Dance,Adamant,27,258,163,139,130,135,173,,,,,,,
Whiscash,340,--,Oblivious,Muddy Water,Magnitude,Spark,Captivate,Serious,10,361,192,182,188,178,156,,,,,,,
Corphish,341,--,Adaptabillity,Crabhammer,Guillotine,Taunt,Dragon Dance,Careful,31,248,217,187,122,139,148,,,,,,,
Crawdaunt,342,--,Hyper Cutter,Crabhammer,Dark Pulse,Rock Smash,Guillotine,Lax,10,267,276,226,216,131,146,,,,,,,
Baltoy,343,--,Levitate,Earthquake,Psychic,Trick Room,Explosion,Sassy,31,284,116,178,116,228,103,,,,,,,
Claydol,344,--,Levitate,Earth Power,Zen Headbutt,Gravity,Self-Destruct,Serious,7,258,173,243,173,273,183,,,,,,,
Lileep,345,--,Suction Cups,Energy Ball,Ancient Power ,Confuse Ray,Recover,Calm,21,284,116,201,169,243,93,,,,,,,
Cradily,346,--,Suction Cups,Giga Drain,Rock Slide,Ingrain,Protect,Serious,8,311,196,228,196,240,120,,,,,,,
