aero,NAME/GENDER,ABILITY,Move A,Move B,Move C,Move D,IV,HP,ATK,DEF,S.ATK,S.DEF,SPD,NATURE,ITEM,LEGEND,,
1,Bulbasaur,Overgrow,Power Whip,Leech Seed,Sleep Powder,Protect,24,245,162,148,162,180,140,Adamant,,Genders,,Bulbasaur: 24
2,Ivysaur,Overgrow,Energy Ball,Sludge Bomb,Poison Powder,Synthesis,16,267,149,168,222,202,162,Modest,,Male,,Ivysaur: 16
3,Venusaur,Overgrow,Solar Beam,Double-Edge,Sludge,Toxic,5,296,195,197,231,207,210,Naive,,Female,,Venusaur: 5
4,Charmander,Blaze,Flamethrower,Rock Tomb,Dragon Rage,Sunny Day,25,234,155,137,188,135,181,Modest,,No gender,,Charmander: 25
5,Charmeleon,Blaze,Fire Punch,Strength,Crunch,Belly Drum,16,263,187,142,202,172,202,Lonely,,,,Charmeleon: 16
6,Charizard,Blaze,Flamethrower,Wing Attack,Seismic Toss,Scary Face,4,291,198,186,248,200,230,Serious,,HP,OTHER STATS,Charizard: 4
7,Squirtle,Torrent,Muddy Water,Dig,Bite,Icy Wind,25,244,132,181,151,196,137,Calm,,< 260,< 140,Squirtle: 25
8,Wartortle,Torrent,Aqua Tail,Ice Beam,Bite,Rapid Spin,16,265,184,202,172,202,142,Brave,,> 259,> 139,Wartortle: 16
9,Blastoise,Torrent,Hydro Cannon,Mega Punch,Mud-Slap,Rapid Spin,4,293,215,230,180,240,186,Adamant,,> 269,> 154,Blastoise: 4
10,Caterpie,Shield Dust,Bug Bite,Tackle,String Shot,,36,252,117,127,87,97,161,Jolly,,> 289,> 179,Caterpie: 36
11,Metapod,Shed Skin,Bug Bite,Tackle,String Shot,Harden,35,262,97,183,96,107,117,Impish,,> 329,> 204,Metapod: 35
12,Butterfree,Compound Eyes,Bug Buzz,Psychic,Sleep Powder,Supersonic,18,269,120,144,204,204,202,Timid,,> 379,> 259,Butterfree: 18
13,Weedle,Shield Dust,Bug Bite,Poison Sting,String Shot,,36,242,127,117,87,97,171,Jolly,,,,Weedle: 36
14,Kakuna,Shed Skin,Bug Bite,Poison Sting,String Shot,Harden,35,252,107,172,96,107,127,Impish,,,,Kakuna: 35
15,Beedrill,Swarm,Poison Jab,Twineedle,Swords Dance,Toxic Spikes,18,279,224,124,120,204,194,Adamant,,,,Beedrill: 18
16,Pidgey,Keen Eye,Air Slash,Heat Wave,Mirror Move,Sand Attack,31,242,132,137,139,127,169,Modest,,,,Pidgey: 31
17,Pidgeotto,Keen Eye,Double-Edge,Fly,Mirror Move,Sand Attack,21,278,167,157,132,147,207,Jolly,,,,Pidgeotto: 21
18,Pidgeot,Tangled Feet,Sky Attack,Facade,Mirror Move,Sand Attack,10,307,196,167,176,176,239,Modest,,,,Pidgeot: 10
19,Rattata,Guts,Super Fang,Return,Quick Attack,Crunch,31,222,169,127,96,127,221,Jolly,,missing affection for return,,Rattata: 31
20,Raticate,Guts,Super Fang,Hyper Fang,Dig,Flame Wheel,15,256,223,161,126,181,235,Impish,,,,Raticate: 15
21,Spearow,Keen Eye,Drill Peck,Frustration,Feint Attack,Defog,30,241,193,116,106,118,196,Adamant,,missing affection for frustration,,Spearow: 30
22,Fearow,Keen Eye,Drill Peck,Giga Impact,Toxic,Growl,13,274,219,169,144,177,239,Careful,,,,Fearow: 13
23,Ekans,Shed Skin,Poison Jab,Dig,Glare,Rest,27,228,190,141,119,161,163,Adamant,,,,Ekans: 27
24,Arbok,Intimidate,Gunk Shot,Ice Fang,Glare,Leer,13,264,209,177,169,197,199,Quirky,,,,Arbok: 13
25,Pikachu,Static,Discharge,Surf,Headbutt,Double Team,26,227,162,100,167,112,232,Mild,,,,Pikachu: 26
26,Raichu,Static,Thunder,Fly,Dig,Magnet Rise,9,260,215,145,215,195,235,Adamant,,,,
27,Sandshrew,Sand Veil,Earthquake,Rock Tomb,Seismic Toss,Sandstorm,26,257,202,244,82,112,132,Impish,,,,Sandshrew: 26
28,Sandslash,Sand Veil,Earthquake,Slash,Metal Claw,Sandstorm,12,293,214,258,128,162,168,Calm,,,,Sandslash: 12
29,Nidoran♀,Poison Point,Super Fang,Poison Jab,Iron Tail,Swagger,29,270,149,174,121,135,137,Impish,,,,Nidoran♀: 29
30,Nidorina,Rivalry,Sludge Bomb,Blizzard,Crunch,Flatter,20,291,153,180,171,156,158,Modest,,,,Nidorina: 20
31,Nidoqueen,Rivalry,Earthquake,Poison Jab,Icy Wind,Tail Whip,8,319,178,208,202,204,186,Modest,,,,Nidoqueen: 8
32,Nidoran♂,Poison Point,Poison Jab,Thunder,Horn Drill,Swagger,29,252,185,135,135,121,155,Naughty,,,,Nidoran♂: 29
33,Nidorino,Rivalry,Sludge Bomb,Thunder,Horn Drill,Flatter,20,273,171,160,171,156,176,Modest,,,,Nidorino: 20
34,Nidoking,Rivalry,Earth Power,Poison Jab,Surf,Horn Drill,8,301,218,188,204,202,183,Sassy,,,,Nidoking: 8
35,Clefairy,Magic Guard,Metronome,Toxic,Moonlight,Protect,24,295,140,146,170,198,108,Sassy,,,,Clefairy: 24
36,Clefable,Magic Guard,Headbutt,Psychic,Calm Mind,Metronome,10,331,176,182,206,216,156,Bashful,,,,Clefable: 10
37,Vulpix,Flash Fire,Flamethrower,Extrasensory,Confuse Ray,Will-O-Wisp,26,233,120,132,167,182,182,Modest,,,,Vulpix: 26
38,Ninetales,Flash Fire,Solar Beam,Flamethrower,Quick Attack,Sunny Day,7,284,185,201,175,233,233,Impish,,,,Ninetales: 7
39,Jigglypuff,Cute Charm,Body Slam,Rollout,Sing,Defense Curl,29,390,159,95,130,105,95,Adamant,,,,Jigglypuff: 29
40,Wigglytuff,Cute Charm,Double-Edge,Wake-Up Slap,Feint Attack,Sing,14,425,180,130,209,140,117,Quiet,,,,Wigglytuff: 14
41,Zubat,Inner Focus,Fly,Poison Fang,Giga Drain,Confuse Ray,31,242,147,127,105,137,183,Jolly,,,,Zubat: 31
42,Golbat,Inner Focus,Brave Bird,Bite,Giga Drain,Confuse Ray,11,292,197,159,167,187,238,Hasty,,,,Golbat: 11
43,Oddish,Chlorophyll,Solar Beam,Sludge Bomb,Moonlight,Sunny Day,24,245,135,160,200,160,121,Timid,,,,Oddish: 24
44,Gloom,Chlorophyll,Energy Ball,Sludge Bomb,Moonlight,Sunny Day,17,268,155,183,213,193,135,Timid,,,,Gloom: 17
45,Vileplume,Chlorophyll,Petal Dance,Giga Impact,Sweet Scent,Worry Seed,9,290,214,205,211,215,135,Adamant,,,,Vileplume: 9
46,Paras,Dry Skin,Seed Bomb,X-Scissor,Spore,Swords Dance,28,229,194,164,129,180,104,Careful,,,,Paras: 28
47,Parasect,Effect Spore,Giga Drain,Slash,Spore,Growth,16,267,255,202,145,202,102,Brave,,,,Parasect: 16
48,Venonat,Tinted Lens,Signal Beam,Psychic,Stun Spore,Supersonic,26,277,145,152,145,162,142,Modest,,,,Venonat: 26
49,Venomoth,Tinted Lens,Bug Buzz,Sludge Bomb,Twister,Disable,12,283,151,173,218,188,218,Bold,,,,Venomoth: 12
50,Diglett,Sand Veil,Earthquake,Rock Slide,Fissure,Sandstorm,29,180,165,105,112,145,269,Jolly,,,,Diglett: 29
51,Dugtrio,Arena Trap,Magnitude,Slash,Fissure,Stealth Rock,16,217,202,142,127,182,310,Jolly,,,,Dugtrio: 16
52,Meowth,Technician,Slash,Feint Attack,Swagger,Screech,27,238,143,123,119,133,256,Jolly,,,,Meowth: 27
53,Persian,Limber,Fake Out,Headbutt,Shock Wave,Punishment,13,274,179,143,185,169,269,Mild,,,,Persian: 13
54,Psyduck,Cloud Nine,Surf,Psychic,Disable,Yawn,24,255,138,146,198,150,160,Modest,,,,Psyduck: 24
55,Golduck,Cloud Nine,Aqua Tail,Psychic,Ice Beam,Refresh,7,298,216,189,200,193,203,Adamant,,,,Golduck: 7
56,Mankey,Vital Spirit,Close Combat,Iron Tail,Beat Up,Double Team,26,237,212,122,109,142,211,Jolly,,,,Mankey: 26
57,Primeape,Vital Spirit,Cross Chop,Overheat,Thrash,Focus Energy,11,272,222,157,172,177,227,Modest,,,,Primeape: 11
58,Growlithe,Intimidate,Overheat,Fire Fang,Reversal,Agility,21,262,205,123,187,147,167,Jolly,,,,Growlithe: 21
59,Arcanine,Intimidate,Fire Fang,Crunch,Extreme Speed,Roar,2,313,248,188,205,206,218,Careful,,,,Arcanine: 2
60,Poliwag,Water Absorb,Hydro Pump,Ice Beam,Hypnosis,Rain Dance,26,237,152,132,132,118,255,Naive,,,,Poliwag: 26
61,Poliwhirl,Water Absorb,Surf,Mud Bomb,Seismic Toss,Swagger,18,279,156,174,158,144,224,Modest,,,,Poliwhirl: 18
62,Poliwrath,Damp,Hydro Pump,Dynamic Punch,Rock Smash,Mind Reader,7,318,203,200,190,213,173,Mild,,,,Poliwrath: 7
63,Abra,Synchronize,Psychic,Shadow Ball,Swagger,Thunder Wave,25,206,81,81,261,161,254,Timid,,,,Abra: 25
64,Kadabra,Inner Focus,Psychic,Shock Wave,Kinesis,Role Play,17,228,113,103,254,201,253,Careful,,,,Kadabra: 17
65,Alakazam,Inner Focus,Psybeam,Shock Wave,Kinesis,Miracle Eye,8,249,134,136,273,204,274,Impish,,,,Alakazam: 8
66,Machop,No Guard,Dynamic Punch,Earthquake,Seismic Toss,Foresight,26,297,233,152,122,122,109,Brave,,,,Machop: 26
67,Machoke,No Guard,Cross Chop,Stone Edge,Bullet Punch,Scary Face,16,307,242,182,142,178,118,Sassy,,,,Machoke: 16
68,Machamp,No Guard,Submission,Fire Blast,Rock Climb,Toxic,7,318,263,193,179,203,143,Modest,,,,Machamp: 7
69,Bellsprout,Chlorophyll,Sludge Bomb,Giga Drain,Sleep Powder,Sunny Day,26,257,181,122,192,112,145,Timid,,,,Bellsprout: 26
70,Weepinbell,Chlorophyll,Sludge Bomb,Razor Leaf,Wring Out,Stun Spore,18,279,246,144,214,120,154,Naughty,,,,Weepinbell: 18
71,Victreebel,Chlorophyll,Sludge Bomb,Vine Whip,Body Slam,Gastro Acid,9,300,269,165,235,139,175,Timid,,,,Victreebel: 9
72,Tentacool,Clear Body,Surf,Sludge Bomb,Blizzard,Mirror Coat,23,234,129,107,149,273,189,Gentle,,,,Tentacool: 23
73,Tentacruel,Liquid Ooze,Sludge Bomb,Waterfall,Barrier,Toxic Spikes,6,297,172,162,192,272,232,Quirky,,,,Tentacruel: 6
74,Geodude,Sturdy,Earthquake,Rollout,Defense Curl,Explosion,26,237,233,252,100,112,92,Adamant,,,,Geodude: 26
75,Graveler,Rock Head,Earthquake,Double-Edge,Rock Polish,Self-Destruct,18,259,234,274,134,134,114,Hardy,,,,Graveler: 18
76,Golem,Sturdy,Magnitude,Rock Blast,Stealth Rock,Self-Destruct,9,300,255,295,145,165,125,Hardy,,,,Golem: 9
77,Ponyta,Flash Fire,Flare Blitz,Iron Tail,Morning Sun,Sunny Day,16,247,212,152,154,172,244,Jolly,,,,Ponyta: 16
78,Rapidash,Flash Fire,Heat Wave,Iron Tail,Stomp,Horn Drill,7,268,233,155,193,193,267,Hasty,,,,Rapidash: 7
79,Slowpoke,Own Tempo,Aqua Tail,Zen Headbutt,Thunder Wave,Curse,25,336,181,181,117,144,81,Careful,,,,Slowpoke: 25
80,Slowbro,Own Tempo,Psychic,Water Pulse,Yawn,Trick Room,8,329,202,254,234,174,94,Naughty,,,,Slowbro: 8
81,Magnemite,Sturdy,Thunderbolt,Flash Cannon,Supersonic,Thunder Wave,24,205,120,190,264,144,140,Rash,,,,Magnemite: 24
82,Magneton,Sturdy,Discharge,Magnet Bomb,Metal Sound,Supersonic,10,241,171,226,276,158,176,Naughty,,,,Magneton: 10
83,Farfetch'd,Inner Focus,Slash,Fly,Leaf Blade,Swords Dance,21,256,177,157,146,171,183,Jolly,,,,Farfetch'd: 21
84,Doduo,Early Bird,Brave Bird,Facade,Acupressure,Rest,25,226,221,141,108,121,221,Jolly,,,,Doduo: 25
85,Dodrio,Early Bird,Fly,Tri Attack,Swagger,Rest,11,262,231,177,172,157,237,Modest,,,,Dodrio: 11
86,Seel,Hydration,Surf,Rain Dance,Rest,Stockpile,24,285,126,176,140,190,140,Bold,,,,Seel: 24
87,Dewgong,Thick Fat,Ice Beam,Surf,Signal Beam,Aqua Ring,9,320,157,214,175,225,175,Bold,,,,Dewgong: 9
88,Grimer,Stench,Poison Jab,Dig,Toxic,Minimize,24,315,231,150,117,150,100,Adamant,,,,Grimer: 24
89,Muk,Sticky Hold,Gunk Shot,Fire Punch,Screech,Acid Armor,7,348,216,201,163,233,133,Bold,,,,Muk: 7
90,Shellder,Shell Armor,Surf,Ice Beam,Supersonic,Explosion,26,217,182,252,156,102,118,Quiet,,,,Shellder: 26
91,Cloyster,Skill Link,Surf,Icicle Spear,Spike Cannon,Spikes,5,236,221,430,201,121,153,Relaxed,,,,Cloyster: 5
92,Gastly,Levitate,Shadow Ball,Attract,Confuse Ray,Curse,25,216,108,111,251,121,232,Timid,,,,Gastly: 25
93,Haunter,Levitate,Night Shade,Dream Eater,Curse,Hypnosis,16,237,127,132,272,152,255,Timid,,,,Haunter: 16
94,Gengar,Levitate,Dark Pulse,Night Shade,Taunt,Self-Destruct,7,258,163,153,263,183,278,Jolly,,,,Gengar: 7
95,Onix,Sturdy,Earthquake,Rock Slide,Rock Climb,Screech,18,219,147,364,93,134,184,Adamant,,,,Onix: 18
96,Drowzee,Insomnia,Seismic Toss,Dream Eater,Disable,Hypnosis,23,274,145,139,135,229,133,Hardy,,,,Drowzee: 23
97,Hypno,Insomnia,Zen Headbutt,Focus Punch,Swagger,Psych Up,9,310,162,192,181,265,169,Bold,,,,Hypno: 9
98,Krabby,Shell Armor,Crabhammer,Guillotine,Amnesia,Iron Defense,24,215,260,230,90,110,150,Careful,,,,Krabby: 24
99,Kingler,Hyper Cutter,Crabhammer,Brick Break,Vice Grip,Tickle,9,250,295,291,121,135,185,Impish,,,,Kingler: 9
100,Voltorb,Static,Thunder,Light Screen,Rain Dance,Explosion,23,234,109,134,159,159,273,Naughty,,,,Voltorb: 23
101,Electrode,Soundproof,Thunder,Rollout,Screech,Self-Destruct,9,260,121,175,195,195,346,Timid,,,,Electrode: 9
102,Exeggcute,Chlorophyll,Psychic,Grass Knot,Leech Seed,Stun Spore,24,275,130,210,170,154,117,Sassy,,,,Exeggcute: 24
103,Exeggutor,Chlorophyll,Leaf Storm,Psychic,Wood Hammer,Ingrain,5,326,221,201,252,177,141,Careful,,,,Exeggutor: 5
104,Cubone,Lightning Rod,Bonemerang,Icy Wind,Seismic Toss,Perish Song,24,255,150,240,130,165,108,Sassy,,,,Cubone: 24
105,Marowak,Rock Head,Bonemerang,Focus Punch,Double-Edge,Substitute,14,265,200,286,126,200,130,Impish,,,,Marowak: 14
106,Hitmonlee,Limber,High Jump Kick,Vacuum Wave,Blaze Kick,Feint,11,242,249,123,117,257,211,Modest,,,,Hitmonlee: 11
107,Hitmonchan,Iron Fist,Mach Punch,Ice Punch,Bullet Punch,Counter,11,242,222,214,107,257,189,Bold,,,,Hitmonchan: 11
108,Lickitung,Own Tempo,Mega Kick,Earthquake,Surf,Lick,18,329,169,194,164,194,93,Brave,,,,Lickitung: 18
109,Koffing,Levitate,Sludge Bomb,Fire Blast,Smokescreen,Explosion,22,233,178,238,168,151,106,Sassy,,,,Koffing: 22
110,Weezing,Levitate,Sludge Bomb,Flamethrower,Pain Split,Memento,8,269,214,274,204,174,154,Docile,,,,Weezing: 8
111,Rhyhorn,Rock head,Stone Edge,Earthquake,Fire Fang,Roar,22,313,239,238,108,108,88,Brave,,,,Rhyhorn: 22
112,Rhydon,Lightning Rod,Dig,Rock Slide,Counter,Sandstorm,9,350,295,275,125,112,126,Naive,,,,Rhydon: 9
113,Chansey,Serene Grace,Egg Bomb,Charge Beam,Metronome,Sing,12,643,48,48,108,248,138,Bashful,,,,Chansey: 12
114,Tangela,Chlorophyll,Giga Drain,Sleep Powder,Growth,Substitute,13,274,134,295,239,119,159,Bold,,,,Tangela: 13
115,Kangaskhan,Scrappy,Fake Out,Dizzy Punch,Outrage,Surf,8,349,201,194,125,194,214,Modest,,,,Kangaskhan: 8
116,Horsea,Swift Swim,Hydro Pump,Ice Beam,Smokescreen,Rain Dance,27,218,119,193,212,103,173,Modest,,,,Horsea: 27
117,Seadra,Sniper,Surf,Dragon Breath,Smokescreen,Toxic,13,254,169,206,229,129,229,Hasty,,,,Seadra: 13
118,Goldeen,Water Veil,Waterfall,Horn Attack,Horn Drill,Supersonic,24,245,184,187,108,150,176,Impish,,,,Goldeen: 24
119,Seaking,Swift Swim,Dive,Megahorn,Horn Drill,Rain Dance,12,303,222,184,151,198,174,Impish,,,,Seaking: 12
120,Staryu,Natural Cure,Surf,Thunderbolt,Cosmic Power,Recover,22,213,124,158,188,158,239,Timid,,,,Staryu: 22
121,Starmie,Natural Cure,Psychic,Water Pulse,Power Gem,Camouflage,5,256,181,201,231,201,261,Docile,,,,Starmie: 5
122,Mr. Mime,Filter,Psybeam,Focus Blast,Magical Leaf,Reflect,11,222,114,183,237,277,217,Bold,,,,Mr. Mime: 11
123,Scyther,Technician,X-Scissor,Wing Attack,Quick Attack,Focus Energy,7,278,253,193,143,193,243,Quirky,,,,Scyther: 7
124,Jynx,Oblivious,Psychic,Icy Wind,Lick,Sweet Kiss,11,272,137,107,240,227,249,Jolly,,,,Jynx: 11
125,Electabuzz,Static,Thunder Punch,Dynamic Punch,Ice Punch,Thunder Wave,8,269,200,148,224,183,268,Naive,,,,Electabuzz: 8
126,Magmar,Flame Body,Flamethrower,Smog,Smokescreen,Sunny Day,8,269,201,148,234,204,242,Timid,,,,Magmar: 8
127,Pinsir,Hyper Cutter,X-Scissor,Vital Throw,Guillotine,Focus Energy,7,268,311,233,143,173,182,Brave,,,,Pinsir: 7
128,Tauros,Anger Point,Thrash,Flamethrower,Payback,Endure,8,289,234,224,114,156,279,Naive,,,,Tauros: 8
129,Magikarp,Swift Swim,Splash,Bounce,Tackle,Flail,36,202,84,167,78,97,217,Adamant,,,,Magikarp: 36
130,Gyarados,Intimidate,Bounce,Waterfall,Dragon Dance,Taunt,3,324,279,187,163,206,191,Rash,,,,Gyarados: 3
131,Lapras,Water Absorb,Surf,Ice Beam,Strength,Confuse Ray,4,395,220,190,180,220,150,Adamant,,,,Lapras: 4
132,Ditto,Limber,Transform,,,,27,254,134,149,149,149,163,Timid,,,,Ditto: 27
133,Eevee,Adaptability,Headbutt,Iron Tail,Bite,Sand Attack,24,265,176,150,126,180,160,Adamant,,,,Eevee: 24
134,Vaporeon,Water Absorb,Waterfall,Shadow Ball,Aurora Beam,Acid Armor,5,396,177,151,225,221,161,Adamant,,,,Vaporeon: 5
135,Jolteon,Volt Absorb,Discharge,Last Resort,Sand Attack,Tickle,5,266,161,151,251,221,291,Hardy,,,,Jolteon: 5
136,Flareon,Flash Fire,Fire Fang,Take Down,Tail Whip,Will-O-Wisp,5,266,291,166,198,251,161,Impish,,,,Flareon: 5
137,Porygon,Trace,Frustration (80),Shadow Ball,Charge Beam,Sharpen,17,278,163,183,213,193,123,Quirky,,,,Porygon: 17
138,Omanyte,Swift Swim,Surf,Ancient Power,Ice Beam,Rain Dance,21,222,127,247,227,157,117,Quirky,,,,Omanyte: 21
139,Omastar,Shell Armor,Surf,Rock Blast,Earth Power,Captivate,8,279,154,284,264,174,144,Quirky,,,,Omastar: 8
140,Kabuto,Battle Armor,Waterfall,Rock Slide,Giga Drain,Substitute,21,212,207,227,141,137,172,Jolly,,,,Kabuto: 21
141,Kabutops,Battle Armor,Waterfall,Ancient Power,X-Scissor,Endure,8,259,237,244,180,174,194,Modest,,,,Kabutops: 8
142,Aerodactyl,Pressure,Rock Slide,Aerial Ace,"Supersonic
",Stealth Rock,6,297,242,162,152,182,292,Docile,,,,Aerodactyl: 6
143,Snorlax,Thick Fat,Mega Punch,Brick Break,Odor Sleuth,Curse,3,454,224,159,159,249,97,Timid,,,,Snorlax: 3
144,Articuno,Pressure,Blizzard,Pluck,Ancient Power,Mist,0,311,196,226,216,276,196,Adamant,,,,Articuno: 0
145,Zapdos,Pressure,Thunder,Pluck,Rock Smash,Detect,0,311,226,196,248,206,226,Adamant,,,,Zapdos: 0
146,Moltres,Pressure,Fire Blast,Pluck,Fire Spin,Agility,0,311,248,208,248,196,206,Adamant,,,,Moltres: 0
147,Dratini,Shed Skin,Outrage,Flamethrower,Agility,Safeguard,26,239,198,142,136,152,152,Adamant,,,,Dratini: 26
148,Dragonair,Shed Skin,Dragon Rush,Fire Blast,Headbutt,Thunder Wave,15,268,209,171,162,199,181,Careful,,,,Dragonair: 15
149,Dragonite,Inner Focus,Dragon Pulse,Hyper Beam,Surf,Defog,-1,312,293,215,225,202,203,Naive,,,,Dragonite: -1
150,Mewtwo,Pressure,Psycho Cut,Disable,Miracle Eye,Protect,-9,334,237,197,325,197,277,Hardy,,,,Mewtwo: -9
150,Shiny Mewtwo,Pressure,Stone Edge,Psycho Cut,Bulk Up,Recovery,,374,304,237,328,237,317,Adamant,,,,
151,Mew,Synchronize,Psychic,Metronome,Me First,Transform,-1,330,225,225,225,225,225,Quirky,,,,Mew: -1
152,Chikorita,Overgrow,Grass Knot,Body Slam,Leech Seed,Protect,24,245,148,180,148,198,126,Sassy,,,,
153,Bayleef,Overgrow,Seed Bomb,Body Slam,Safeguard,Synthesis,16,267,182,202,151,202,162,Adamant,,,,Bayleef: 16
154,Meganium,Overgrow,Frenzy Plant,Iron Tail,Poison Powder,Aromatherapy,5,296,214,231,177,231,191,Adamant,,,,
155,Cyndaquil,Blaze,Eruption,Fire Blast,Reversal,Endure,25,234,155,137,171,135,199,Naive,,,,Cyndaquil: 25
156,Quilava,Blaze,Flamethrower,Extrasensory,Smokescreen,Will-O-Wisp,16,263,170,158,222,154,202,Rash,,,,Quilava: 16
157,Typhlosion,Blaze,Lava Plume,Double-Edge,Smokescreen,Roar,4,291,198,186,248,200,230,Impish,,,,Typhlosion: 4
158,Totodile,Torrent,Waterfall,Ice Punch,Crunch,Dragon Dance,25,256,181,179,125,147,150,Jolly,,,,Totodile: 25
159,Croconaw,Torrent,Dive,Slash,Ice Fang,Screech,16,277,202,202,144,168,173,Jolly,,,,Croconaw: 16
160,Feraligatr,Torrent,Waterfall,Dynamic Punch,Ice Beam,Leer,4,305,216,230,188,215,186,Calm,,,,Feraligatr: 4
161,Sentret,Keen Eye,Double-Edge,Quick Attack,Ice Punch,Thunder Punch,34,232,163,125,114,147,97,Adamant,,,,Sentret: 34
162,Furret,Keen Eye,Headbutt,Sucker Punch,Ice Punch,Thunder Punch,15,316,193,169,117,151,243,Jolly,,,,Furret: 15
163,Hoothoot,Keen Eye,Air Slash,Heat Wave,Feather Dance,Hypnosis,30,281,104,116,128,168,171,Timid,,,,Hoothoot: 30
164,Noctowl,Insomnia,Air Cutter,Hyper Beam,Dream Eater,Hypnosis,13,344,125,139,191,231,196,Timid,,,,Noctowl: 13
165,Ledyba,Swarm,Bug Buzz,Dynamic Punch,Attract,Double Team,29,240,95,103,148,215,165,Mild,,,,Ledyba: 29
166,Ledian,Early Bird,Bug Buzz,Giga Drain,Reflect,Roost,18,259,102,144,154,264,235,Timid,,,,Ledian: 18
167,Spinarak,Swarm,Bug Bite,Dig,Night Shade,Toxic,31,242,194,137,123,137,117,Adamant,,,,Spinarak: 31
168,Ariados,Swarm,Bug Bite,Poison Jab,Giga Drain,Agility,18,289,246,165,164,164,124,Lonely,,,,Ariados: 18
169,Crobat,Inner Focus,Fly,Poison Fang,Steel Wing,Supersonic,4,305,210,190,170,190,290,Serious,,,,Crobat: 4
170,Chinchou,Volt Absorb,Thunder,Surf,Confuse Ray,Rain Dance,23,304,112,125,161,161,201,Timid,,,,Chinchou: 23
171,Lanturn,Volt Absorb,Thunder,Water Pulse,Flail,Supersonic,11,392,168,137,189,189,171,Lonely,,,,Lanturn: 11
172,Pichu,Static,Volt Tackle,Headbutt,Attract,Sweet Kiss,35,202,137,87,114,127,194,Timid,,,,Pichu: 35
173,Cleffa,Magic Guard,Headbutt,Flamethrower,Attract,Swagger,34,262,107,113,147,183,78,Sassy,,,,Cleffa: 34
174,Igglybuff,Cute Charm,Secret Power,Attract,Sweet Kiss,Sing,35,342,117,87,137,106,78,Sassy,,,,Igglybuff: 35
175,Togepi,Serene Grace,Secret Power,Metronome,Attract,Sweet Kiss,31,232,97,187,137,205,87,Sassy,,,,Togepi: 31
176,Togetic,Serene Grace,Tri Attack,Air Cutter,Ancient Power,Metronome,16,257,122,212,202,252,122,Quirky,,,,Togetic: 16
177,Natu,Early Bird,Psychic,Night Shade,Confuse Ray,Thunder Wave,24,235,135,140,209,140,190,Modest,,,,Natu: 24
178,Xatu,Early Bird,Fly,Psychic,Sucker Punch,Psycho Shift,10,271,186,193,203,176,226,Impish,,,,Xatu: 10
,Shiny Xatu,Hustle,Brave Bird,Defog,Cosmic Power,Roost,,292,186,197,271,197,247,Modest,Leftovers,,,
179,Mareep,Static,Thunderbolt,Headbutt,Light Screen,Thunder Wave,28,269,134,134,202,144,111,Quiet,,,,Mareep: 28
180,Flaaffy,Static,Discharge,Headbutt,Cotton Spore,Light Screen,20,291,156,171,206,166,122,Relaxed,,,,Flaaffy: 20
181,Ampharos,Static,Thunder,Signal Beam,Headbutt,Counter,7,318,183,183,236,234,143,Careful,,,,Ampharos: 7
