aero,NAME/GENDER,ABILITY,Move A,Move B,Move C,Move D,IV,HP,ATK,DEF,S.ATK,S.DEF,SPD,NATURE,ITEM,LEGEND,,
182,Bellossom,Chlorophyll,Leaf Storm,Sludge Bomb,Lucky Chant,Sunny Day,9,290,175,205,236,235,135,Modest,,,,
183,Marill,Huge Power,Waterfall,Body Slam,Rollout,Defense Curl,31,302,97,157,87,172,137,Careful,,,,Marill: 31
184,Azumarill,Huge Power,Aqua Tail,Superpower,Rollout,Grass Knot,16,347,127,202,142,202,156,Timid,,,,Azumarill: 16
185,Sudowoodo,Rock Head,Stone Edge,Wood Hammer,Earth Power,Copycat,16,287,242,272,102,172,102,Hardy,,,,Sudowoodo: 16
186,Politoed,Water Absorb,Hyper Voice,Water Pulse,Icy Wind,Perish Song,7,318,164,201,213,233,173,Bold,,,,Politoed: 7
187,Hoppip,Chlorophyll,Bounce,Giga Drain,Leech Seed,Sleep Powder,31,232,127,123,127,167,172,Hasty,,,,Hoppip: 31
188,Skiploom,Chlorophyll,Solar Beam,Bounce,Sunny Day,Synthesis,22,263,138,133,138,178,228,Hasty,,,,Skiploom: 22
189,Jumpluff,Chlorophyll,Mega Drain,Headbutt,Leech Seed,Poison Powder,12,293,148,178,148,208,258,Quirky,,,,Jumpluff: 12
190,Aipom,Run Away,Fake Out,Last Resort,Shadow Claw,Double Team,20,261,186,156,126,156,218,Jolly,,,,Aipom: 20
191,Sunkern,Chlorophyll,Solar Beam,Endeavor,Endure,Sunny Day,38,222,105,117,117,117,128,Timid,,,,Sunkern: 38
192,Sunflora,Chlorophyll,Solar Beam,Sludge Bomb,Grass Whistle,Sunny Day,14,295,190,135,250,210,110,Hasty,,,,Sunflora: 14
193,Yanma,Speed Boost,Bug Buzz,Air Slash,Hypnosis,"Detect
",18,279,174,147,174,134,234,Impish,,,,Yanma: 18
194,Wooper,Water Absorb,Surf,Earthquake,Ice Punch,Swagger,35,272,147,147,107,96,95,Naive,,,,Wooper: 35
195,Quagsire,Damp,Muddy Water,Dig,Ice Beam,Amnesia,14,335,210,210,170,170,110,Quirky,,,,Quagsire: 14
196,Espeon,Synchronize,Psybeam,Swift,Attract,Sand Attack,5,266,161,166,261,221,251,Impish,,,,Espeon: 5
197,Umbreon,Synchronize,Feint Attack,Psychic,Psych Up,Snatch,5,326,161,225,166,291,161,Mild,,,,Umbreon: 5
198,Murkrow,Super Luck,Sucker Punch,Heat Wave,Feather Dance,Roost,16,267,212,113,212,126,246,Hasty,,,,Murkrow: 16
199,Slowking,Oblivious,Surf,Confusion,Power Gem,Thunder Wave,8,329,202,174,234,254,94,Lonely,,,,Slowking: 8
200,Misdreavus,Levitate,Shadow Ball,Thunderbolt,Pain Split,Perish Song,13,264,159,159,209,209,209,Docile,,,,Misdreavus: 13
201,Unown,Levitate,Hidden Power (Psychic),,,,23,249,173,145,212,145,144,Modest,,,,Unown: 23
202,Wobbuffet,Shadow Tag,Counter,Mirror Coat,Destiny Bond,Encore,16,527,97,158,108,158,118,Timid,,,,Wobbuffet: 16
,Shiny Wobbuffet,Pure Power,Copycat,Safeguard,Counter,Mirror Coat,,542,110,173,123,173,135,Timid,,,,
203,Girafarig,Early Bird,Psychic,Shadow Ball,Stomp,Amnesia,11,282,197,167,217,167,207,Bashful,,,,Girafarig: 11
204,Pineco,Sturdy,Gyro Ball,Explosion,Spikes,Toxic Spikes,27,258,183,256,123,123,31,Relaxed,,,,Pineco: 27
205,Forretress,Sturdy,Flash Cannon,Rollout,Stealth Rock,Self-Destruct,10,291,194,316,171,156,116,Modest,,,,Forretress: 10
206,Dunsparce,Serene Grace,Strength,Dig,Rock Slide,Glare,15,346,181,181,171,171,131,Quirky,,,,Dunsparce: 15
207,Gligar,Sand Veil,Dig,Toxic,Sand Attack,Sandstorm,14,275,190,250,99,170,231,Jolly,,,,
208,Steelix,Sturdy,Iron Tail,Dig,Ancient Power,Rock Polish,6,287,181,432,156,162,92,Modest,,,,Steelix: 6
209,Snubbull,Intimidate,Smelling Salts,Bite,Attract,Thunder Wave,26,277,233,152,118,132,112,Adamant,,,,Snubbull: 26
210,Granbull,Intimidate,Mega Kick,Bite,Scary Face,Bulk Up,12,323,278,188,158,142,140,Naive,,,,Granbull: 12
211,Qwilfish,Poison Point,Waterfall,Poison Jab,Pin Missile,Minimize,14,275,253,190,150,135,210,Naughty,,,,Qwilfish: 14
212,Scizor,Technician,Metal Claw,X-Scissor,Superpower,Agility,7,278,263,233,157,193,163,Modest,,,,Scizor: 7
213,Shuckle,Sturdy,Mud-Slap,Toxic,Sandstorm,Stealth Rock,7,178,53,493,47,542,43,Careful,,,,Shuckle: 7
,Shiny Shuckle,Pure Power,Rollout,Power Trick,Swords Dance,Defense Curl,,202,84,517,69,517,67,Adamant,Metronome,,,
214,Heracross,Swarm,Megahorn,Rock Smash,Knock Off,Leer,7,298,254,201,113,223,203,Bold,,,,Heracross: 7
215,Sneasel,Keen Eye,Bite,Ice Punch,Brick Break,Attract,14,255,253,150,110,190,243,Jolly,,,,Sneasel: 14
216,Teddiursa,Quick Feet,Slash,Earthquake,Payback,Attract,23,274,229,149,149,149,116,Brave,,,,Teddiursa: 23
217,Ursaring,Guts,Thrash,Dig,Fire Punch,Rest,7,318,293,183,183,183,143,Docile,,,,Ursaring: 7
218,Slugma,Magma Armor,Flamethrower,Yawn,Protect,Recover,31,242,123,137,216,137,97,Modest,,,,Slugma: 31
219,Magcargo,Flame Body,Fire Blast,Earth Power,Ancient Power,Memento,16,247,142,282,202,202,102,Quirky,,,,Magcargo: 16
220,Swinub,Snow Cloak,Earthquake,Blizzard,Endeavor,Hail,31,262,157,137,117,105,172,Naive,,,,Swinub: 31
221,Piloswine,Oblivious,Earthquake,Blizzard,Ancient Power,Mist,12,343,214,198,173,158,138,Modest,,,,Piloswine: 12
222,Corsola,Hustle,Surf,Stone Edge,Attract,Mirror Coat,19,260,155,215,192,215,103,Quiet,,,,Corsola: 19
223,Remoraid,Sniper,Waterfall,Hyper Beam,Flamethrower,Thunder Wave,26,227,182,122,182,109,200,Naive,,,,Remoraid: 26
224,Octillery,Suction Cups,Octazooka,Gunk Shot,Charge Beam,Lock-On,9,290,245,185,245,185,125,Bashful,,,,Octillery: 9
225,Delibird,Vital Spirit,Blizzard,Fly,Hail,Double Team,23,244,159,139,179,139,199,Docile,,,,Delibird: 23
226,Mantine,Water Absorb,Surf,Air Cutter,Icy Wind,Confuse Ray,10,271,116,176,196,316,176,Hardy,,,,Mantine: 10
227,Skarmory,Sturdy,Drill Peck,Steel Wing,Whirlwind,Spikes,10,271,196,284,116,193,176,Gentle,,,,Skarmory: 10
228,Houndour,Flash Fire,Flamethrower,Dark Pulse,Solar Beam,Sunny Day,23,244,152,109,209,149,196,Timid,,,,Houndour: 23
229,Houndoom,Flash Fire,Overheat,Dark Pulse,Solar Beam,Roar,7,288,213,146,227,193,223,Impish,,,,Houndoom: 7
230,Kingdra,Swift Swim,Draco Meteor,Octazooka,Aurora Beam,Smokescreen,3,284,219,219,219,219,199,Bashful,,,,Kingdra: 3
231,Phanpy,Pickup,Earthquake,Double-Edge,Swagger,Double Team,23,334,185,169,116,129,109,Adamant,,,,Phanpy: 23
232,Donphan,Sturdy,Earthquake,Ancient Power,Swagger,Double Team,7,318,245,273,168,153,133,Modest,,,,Donphan: 7
233,Porygon2,Trace,Tri Attack,Discharge,Flash,Conversion 2,6,307,192,212,242,222,152,Docile,,,,Porygon2: 6
234,Stantler,Intimidate,Stomp,Shadow Ball,Zen Headbutt,Hypnosis,10,287,226,160,206,166,206,Quirky,,,,Stantler: 10
235,Smeargle,Own Tempo,Body Slam,Flamethrower,Spore,Swagger,31,272,97,127,97,132,227,Naive,,,,Smeargle: 31
236,Tyrogue,Guts,High Jump Kick,Earthquake,Rock Slide,Swagger,35,232,139,127,114,127,127,Adamant,,,,Tyrogue: 35
237,Hitmontop,Technician,Close Combat,Aerial Ace,Bullet Punch,Counter,11,242,204,227,117,257,177,Modest,,,,Hitmontop: 11
238,Smoochum,Oblivious,Ice Beam,Psychic,Sing,Sweet Kiss,26,247,100,82,222,182,200,Timid,,,,Smoochum: 26
239,Elekid,Static,Thunderbolt,Ice Punch,Flash,Light Screen,20,241,189,108,176,156,236,Naughty,,,,Elekid: 20
240,Magby,Flame Body,Flamethrower,Cross Chop,Confuse Ray,Smokescreen,20,241,196,120,186,140,233,Naive,,,,Magby: 20
241,Miltank,Scrappy,Stomp,Rollout,Heal Bell,Bide,8,329,194,244,114,174,234,Hardy,,,,Miltank: 8
242,Blissey,Serene Grace,Hyper Beam,Blizzard,Gravity,Refresh,3,644,53,49,179,269,139,Naughty,,,,Blissey: 3
243,Raikou,Pressure,Discharge,Quick Attack,Flash,Roar,0,311,215,176,230,226,256,Adamant,,,,Raikou: 0
243,Shiny Raikou,Pressure,Thunder,Aurasphere,Calm Mind,Thunder Wave,,342,204,207,315,257,287,Modest,,,,
244,Entei,Pressure,Fire Blast,Stomp,Rock Smash,Roar,0,361,256,176,226,176,226,Mild,,,,Entei: 0
244,Shiny Entei,Pressure,Eruption,Solarbeam,Calm Mind,Sunny Day,,392,258,227,260,207,257,Modest,,,,
245,Suicune,Pressure,Brine,Aurora Beam,Mist,Roar,0,331,176,256,206,256,196,Quirky,,,,Suicune: 0
245,Shiny Suicune,Pressure,Hydro Pump,Blizzard,Calm Mind,Sheer Cold,,362,186,287,260,287,227,Modest,,,,
246,Larvitar,Guts,Earthquake,Stone Edge,Bite,Dragon Dance,26,257,180,152,127,152,147,Jolly,,,,Larvitar: 26
247,Pupitar,Shed Skin,Dig,Rock Slide,Crunch,Iron Defense,16,287,210,200,154,182,144,Impish,,,,Pupitar: 16
248,Tyranitar,Sand Stream,Bite,Rock Tomb,Fire Fang,Leer,-1,330,293,245,215,202,161,Naive,,,,Tyranitar: -1
249,Lugia,Pressure,Air Cutter,Extrasensory,Weather Ball,Safeguard,-9,334,216,277,197,292,237,Naughty,,,,Lugia: -9
249,Shiny Lugia,Pressure,Aeroblast,Punishment,Calm Mind,Roost,,374,260,317,237,328,277,Naughty,,,,
250,Ho-Oh,Pressure,Heat Wave,Extrasensory,Weather Ball,Safeguard,-9,334,277,216,213,325,197,Impish,,,,Ho-Oh: -9
,Shiny Ho-Oh,Pressure,Sacred Fire,Zen Headbutt,Punishment,Swords Dance,,374,348,237,249,365,237,Adamant,,,,
251,Celebi,Natural Cure,Energy Ball,Future Sight,Perish Song,Healing Wish,-1,330,225,247,202,225,255,Impish,,,,Celebi: -1
252,Treecko,Overgrow,Energy Ball,Facade,Endeavor,Grass Whistle,25,236,126,121,199,161,191,Modest,,,,Treecko: 25
253,Grovyle,Overgrow,Leaf Storm,Leaf Blade,Brick Break,Swords Dance,16,247,172,132,212,154,255,Naughty,,,,Grovyle: 16
254,Sceptile,Overgrow,Leaf Blade,Dragon Claw,Aerial Ace,Quick Attack,4,275,200,160,240,200,270,Hardy,,,,Sceptile: 4
255,Torchic,Blaze,Flamethrower,Bounce,Seismic Toss,Sand Attack,25,246,171,131,191,135,155,Naive,,,,Torchic: 25
256,Combusken,Blaze,Overheat,Sky Uppercut,Night Slash,Rock Slide,16,267,233,162,212,162,136,Brave,,,,Combusken: 16
257,Blaziken,Blaze,Blaze Kick,Double Kick,Mirror Move,Protect,4,295,243,170,250,170,209,Timid,,,,Blaziken: 4
258,Mudkip,Torrent,Waterfall,Body Slam,Low Kick,Attract,25,256,210,151,135,151,131,Adamant,,,,Mudkip: 25
259,Marshtomp,Torrent,Muddy Water,Earthquake,Double-Edge,Double Team,16,287,212,182,178,182,127,Quiet,,,,Marshtomp: 16
260,Swampert,Torrent,Surf,Mud Bomb,Rollout,Mirror Coat,4,335,250,189,200,210,165,Hasty,,,,Swampert: 4
261,Poochyena,Quick Feet,Super Fang,Sucker Punch,Fire Fang,Snatch,34,232,183,127,105,117,127,Adamant,,,,Poochyena: 34
262,Mightyena,Intimidate,Crunch,Fire Fang,Roar,Howl,15,286,221,181,144,161,199,Jolly,,,,
263,Zigzagoon,Gluttony,Headbutt,Mud-Slap,Tickle,Thunder Wave,32,238,117,139,105,139,194,Jolly,,,,Zigzagoon: 32
264,Linoone,Pickup,Headbutt,Pursuit,Flail,Belly Drum,15,302,181,163,126,163,265,Jolly,,,,Linoone: 15
265,Wurmple,Shield Dust,Bug Bite,Poison Sting,Tackle,String Shot,36,252,161,127,87,117,97,Adamant,,,,Wurmple: 36
266,Silcoon,Shed Skin,Tackle,Poison Sting,Harden,String Shot,35,262,127,183,96,107,87,Impish,,,,Silcoon: 35
267,Beautifly,Swarm,Bug Buzz,Giga Drain,Gust,Morning Sun,18,269,165,144,224,144,191,Timid,,,,Beautifly: 18
268,Cascoon,Shed Skin,Tackle,Poison Sting,Harden,String Shot,35,262,127,183,96,107,87,Impish,,,,Cascoon: 35
269,Dustox,Shield Dust,Sludge Bomb,Silver Wind,Shadow Ball,Moonlight,18,269,144,165,144,224,191,Hasty,,,,Dustox: 18
270,Lotad,Rain Dish,Surf,Leech Seed,Protect,Rain Dance,34,242,105,117,137,172,117,Calm,,,,Lotad: 34
271,Lombre,Rain Dish,Hydro Pump,Giga Drain,Leech Seed,Rain Dance,22,273,133,148,168,206,148,Calm,,,,Lombre: 22
272,Ludicolo,Swift Swim,Waterfall,Giga Drain,Metronome,Rain Dance,9,300,175,157,215,235,192,Hasty,,,,Ludicolo: 9
273,Seedot,Chlorophyll,Seed Bomb,Sunny Day,Swords Dance,Explosion,34,242,137,157,105,117,128,Jolly,,,,Seedot: 34
274,Nuzleaf,Chlorophyll,Energy Ball,Dark Pulse,Nasty Plot,Sunny Day,22,293,169,128,168,128,184,Timid,,,,Nuzleaf: 22
275,Shiftry,Early Bird,Leaf Storm,Thief,Nature Power,Tailwind,9,320,258,155,193,155,195,Adamant,,,,Shiftry: 9
,Shiny Shiftry,Serene Grace,Dark Pulse,Minimize,Thunder Wave,Swagger,,342,231,177,260,177,217,Modest,,,,
276,Taillow,Guts,Brave Bird,Return (90),Endeavor,Double Team,29,240,165,115,103,115,247,Jolly,,,,Taillow: 29
277,Swellow,Guts,Double-Edge,Pluck,Ominous Wind,Endeavor,14,265,210,144,154,140,290,Mild,,,,Swellow: 14
278,Wingull,Keen Eye,Air Slash,Water Pulse,Roost,Tailwind,29,240,103,115,181,115,225,Modest,,,,Wingull: 29
279,Pelipper,Keen Eye,Brine,Stockpile,Swallow,Spit Up,14,265,140,240,210,198,153,Sassy,,,,Pelipper: 14
280,Ralts,Synchronize,Psychic,Thunder Wave,Torment,Destiny Bond,36,218,96,107,161,127,137,Modest,,,,Ralts: 36
281,Kirlia,Trace,Psychic,Grass Knot,Calm Mind,Thunder Wave,28,235,124,124,202,164,138,Quiet,,,,Kirlia: 28
282,Gardevoir,Trace,Confusion,Shadow Ball,Magical Leaf,Charm,5,272,177,161,281,234,191,Naughty,,,,Gardevoir: 5
283,Surskit,Swift Swim,Signal Beam,Hydro Pump,Giga Drain,Rain Dance,29,240,103,119,170,159,185,Modest,,,,Surskit: 29
284,Masquerain,Intimidate,Bug Buzz,Air Cutter,Hyper Beam,Water Sport,15,286,144,165,201,225,161,Calm,,,,Masquerain: 15
285,Shroomish,Effect Spore,Seed Bomb,Leech Seed,Spore,Substitute,27,278,133,190,119,173,123,Impish,,,,Shroomish: 27
286,Breloom,Poison Heal,Superpower,Bullet Seed,Mach Punch,Stun Spore,11,262,267,197,157,172,177,Calm,,,,Breloom: 11
287,Slakoth,Truant,Body Slam,Hammer Arm,Sucker Punch,Yawn,28,279,191,174,111,124,114,Adamant,,,,
288,Vigoroth,Vital Spirit,Slash,Shadow Claw,Low Kick,Taunt,13,304,199,199,134,163,219,Careful,,,,Vigoroth: 13
289,Slaking,Truant,Strength,Punishment,Yawn,Slack Off,-8,431,346,203,216,156,248,Hasty,,,,Slaking: -8
,Shiny Slaking,Early Bird,Strength,Tri Attack,Night Shade,Rest,,462,414,257,222,187,257,Adamant,,,,
290,Nincada,Compound Eyes,X-Scissor,Dig,Sand Attack,Swagger,29,222,145,258,103,115,135,Impish,,,,Nincada: 29
291,Ninjask,Speed Boost,Bug Bite,Aerial Ace,Giga Drain,Swords Dance,11,264,195,127,150,137,357,Modest,,,,Ninjask: 11
292,Shedinja,Wonder Guard,X-Scissor,Shadow Sneak,Will-O-Wisp,Heal Block,32,1,260,147,105,117,137,Adamant,,,,Shedinja: 32
293,Whismur,Soundproof,Hyper Voice,Shadow Ball,Seismic Toss,Attract,32,290,143,103,174,103,113,Modest,,,,Whismur: 32
294,Loudred,Soundproof,Hyper Voice,Extrasensory,Ice Beam,Roar,20,319,188,132,206,132,127,Quiet,,,,Loudred: 20
295,Exploud,Soundproof,Mega Kick,Hyper Voice,Icy Wind,Screech,9,348,217,161,217,161,171,Quirky,,,,Exploud: 9
296,Makuhita,Thick Fat,Revenge,Strength,Rock Slide,Bulk Up,32,306,194,117,87,117,107,Adamant,,,,Makuhita: 32
297,Hariyama,Guts,Force Palm,Smelling Salts,Surf,Whirlwind,10,429,248,156,127,156,136,Modest,,,,Hariyama: 10
298,Azurill,Huge Power,Body Slam,Waterfall,Attract,Charm,37,262,106,137,87,137,97,Adamant,,,,Azurill: 37
299,Nosepass,Sturdy,Stone Edge,Zap Cannon,Dynamic Punch,Gravity,19,210,135,315,135,247,94,Sassy,,,,Nosepass: 19
300,Skitty,Normalize,Zen Headbutt,Swagger,Attract,Thunder Wave,30,261,146,160,113,126,156,Impish,,,,Skitty: 30
301,Delcatty,Cute Charm,Headbutt,Sucker Punch,Assist,Captivate,19,290,192,175,139,155,185,Adamant,,,,Delcatty: 19
302,Sableye,Stall,Shadow Claw,Payback,Flatter,Toxic,19,250,195,195,175,192,130,Sassy,,,,Sableye: 19
303,Mawile,Intimidate,Iron Head,Crunch,Stockpile,Swallow,19,250,215,215,139,155,159,Jolly,,,,Mawile: 19
304,Aron,Rock Head,Head Smash,Iron Head,Dig,Rock Polish,23,254,207,249,116,129,109,Adamant,,,,Aron: 23
305,Lairon,Rock Head,Iron Tail,Take Down,Shock Wave,Iron Defense,14,265,220,320,154,140,108,Quiet,,,,Lairon: 14
306,Aggron,Sturdy,Flash Cannon,Rock Slide,Dragon Rush,Metal Sound,4,275,225,390,165,150,130,Modest,,,,Aggron: 4
307,Meditite,Pure Power,High Jump Kick,Zen Headbutt,Bullet Punch,Gravity,28,219,134,164,120,164,191,Jolly,,,,Meditite: 28
308,Medicham,Pure Power,Fake Out,Psycho Cut,Force Palm,Power Trick,16,267,145,211,162,192,202,Bold,,,,Medicham: 16
309,Electrike,Static,Discharge,Mud-Slap,Magnet Rise,Roar,27,238,128,133,183,133,201,Timid,,,,Electrike: 27
310,Manectric,Static,Thunderbolt,Flamethrower,Crunch,Thunder Wave,9,280,203,155,220,155,245,Adamant,,,,Manectric: 9
311,Plusle,Plus,Discharge,Grass Knot,Charge Beam,Encore,16,267,127,122,212,192,255,Timid,,,,Plusle: 16
312,Minun,Minus,Thunder,Grass Knot,Quick Attack,Fake Tears,16,267,109,142,192,212,255,Timid,,,,Minun: 16
313,Volbeat,Swarm,Silver Wind,Zen Headbutt,Tail Glow,Moonlight,17,278,189,153,137,193,213,Serious,,,,Volbeat: 17
314,Illumise,Tinted Lens,Bug Buzz,Shock Wave,Growth,Moonlight,17,278,123,153,189,193,234,Serious,,,,Illumise: 17
315,Roselia,Poison Point,Petal Dance,Extrasensory,Grass Whistle,Synthesis,17,248,163,146,243,203,155,Relaxed,,,,Roselia: 17
316,Gulpin,Liquid Ooze,Gunk Shot,Dynamic Punch,Pain Split,Yawn,26,297,151,158,124,158,132,Adamant,,,,Gulpin: 26
317,Swalot,Liquid Ooze,Sludge Bomb,Seed Bomb,Fire Punch,Curse,10,341,182,202,200,202,131,Quiet,,,,Swalot: 10
318,Carvanha,Rough Skin,Crunch,Waterfall,Super Fang,Endure,26,247,255,92,163,92,182,Adamant,,,,Carvanha: 26
319,Sharpedo,Rough Skin,Hydro Pump,Bite,Scary Face,Endure,11,282,277,117,227,117,227,Bashful,,,,Sharpedo: 11
320,Wailmer,Oblivious,Hydro Pump,Avalanche,Rock Tomb,Fissure,17,408,183,113,183,124,146,Sassy,,,,Wailmer: 17
321,Wailord,Water Veil,Water Spout,Body Slam,Icy Wind,Whirlpool,7,478,213,123,213,123,153,Brave,,,,Wailord: 7
322,Numel,Simple,Overheat,Earthquake,Howl,Stockpile,26,277,172,132,200,142,109,Quiet,,,,Numel: 26
323,Camerupt,Solid Rock,Eruption,Flamethrower,Magnitude,Fissure,11,282,237,177,247,187,117,Docile,,,,Camerupt: 11
324,Torkoal,White Smoke,Fire Blast,Earthquake,Smog,Amnesia,10,281,206,316,206,193,68,Sassy,,,,Torkoal: 10
325,Spoink,Thick Fat,Psychic,Signal Beam,Magic Coat,Calm Mind,23,274,89,119,189,229,169,Calm,,,,Spoink: 23
326,Grumpig,Own Tempo,Focus Blast,Energy Ball,Power Gem,Reflect,10,301,126,166,216,256,196,Bashful,,,,Grumpig: 10
327,Spinda,Tangled Feet,Dizzy Punch,Sucker Punch,Drain Punch,Teeter Dance,20,271,182,166,149,166,166,Adamant,,,,Spinda: 20
328,Trapinch,Hyper Cutter,Earthquake,Crunch,Fissure,Sand Attack,27,248,278,143,128,143,73,Adamant,,,,Trapinch: 27
329,Vibrava,Levitate,Outrage,Dig,Fly,Tailwind,22,253,206,148,133,148,188,Adamant,,,,Vibrava: 22
330,Flygon,Levitate,Draco Meteor,Earthquake,Gust,Sandstorm,5,296,207,191,191,191,254,Timid,,,,Flygon: 5
331,Cacnea,Sand Veil,Seed Bomb,Focus Punch,Mud-Slap,Sandstorm,23,254,219,129,219,141,107,Sassy,,,,Cacnea: 23
332,Cacturne,Sand Veil,Needle Arm,Payback,Cotton Spore,Sandstorm,9,280,265,155,165,155,145,Bashful,,,,Cacturne: 9
333,Swablu,Natural Cure,Fly,Sing,Roost,Perish Song,25,246,131,188,117,201,151,Impish,,,,Swablu: 25
334,Altaria,Natural Cure,Sky Attack,Dragon Pulse,Heat Wave,Refresh,8,289,174,214,174,244,194,Bashful,,,,Altaria: 8
335,Zangoose,Immunity,Crush Claw,Shadow Claw,Metal Claw,Counter,11,288,267,157,157,157,217,Serious,,,,Zangoose: 11
336,Seviper,Shed Skin,Poison Tail,Aqua Tail,Screech,Glare,11,288,260,157,213,157,167,Adamant,,,,Seviper: 11
337,Lunatone,Levitate,Stone Edge,Psychic,Reflect,Trick Room,13,284,163,169,229,209,161,Brave,,,,Lunatone: 13
338,Solrock,Levitate,Zen Headbutt,Ancient Power,Light Screen,Trick Room,13,284,229,209,163,169,161,Quiet,,,,Solrock: 13
339,Barboach,Oblivious,Waterfall,Earthquake,Fissure,Dragon Dance,27,258,163,139,130,135,173,Adamant,,,,Barboach: 27
340,Whiscash,Oblivious,Aqua Tail,Earth Power,Spark,Rain Dance,10,361,192,182,188,178,156,Serious,,,,Whiscash: 10
341,Corphish,Shell Armor,Crabhammer,Brick Break,Guillotine,Dragon Dance,25,242,211,181,135,121,133,Jolly,,,,Corphish: 25
342,Crawdaunt,Hyper Cutter,Crabhammer,Dark Pulse,Rock Smash,Guillotine,10,267,276,226,216,131,146,Lax,,,,Crawdaunt: 10
343,Baltoy,Levitate,Psychic,Earth Power,Trick Room,Explosion,26,237,132,178,132,192,145,Relaxed,,,,Baltoy: 26
344,Claydol,Levitate,Earth Power,Zen Headbutt,Gravity,Self-Destruct,7,258,173,243,173,273,183,Serious,,,,Claydol: 7
345,Lileep,Suction Cups,Energy Ball,Ancient Power,Confuse Ray,Recover,21,284,116,201,169,243,93,Calm,,,,Lileep: 21
346,Cradily,Suction Cups,Giga Drain,Rock Slide,Confuse Ray,Ingrain,8,311,196,228,196,248,120,Serious,,,,Cradily: 8
347,Anorith,Battle Armor,X-Scissor,Rock Slide,Rock Polish,Swords Dance,21,242,237,147,114,147,216,Jolly,,,,Anorith: 21
348,Armaldo,Battle Armor,X-Scissor,Rock Blast,Earth Power,Mud Sport,8,289,255,234,191,194,124,Modest,,,,Armaldo: 8
349,Feebas,Oblivious,Surf,Dragon Breath,Swagger,Attract,36,202,78,97,77,167,236,Timid,,,,Feebas: 36
350,Milotic,Marvel Scale,Aqua Tail,Ice Beam,Mirror Coat,Mud Sport,3,324,163,187,229,251,191,Naughty,,,,Milotic: 3
351,Castform,Forecast,Weather Ball,Hail,Rain Dance,Sunny Day,15,286,162,181,181,181,199,Timid,,,,Castform: 15
352,Kecleon,Color Change,Slash,Sucker Punch,Seismic Toss,Disable,13,264,219,196,159,279,107,Relaxed,,,,Kecleon: 13
353,Shuppet,Insomnia,Shadow Ball,Sucker Punch,Thunder Wave,Destiny Bond,27,246,203,123,196,107,143,Rash,,,,Shuppet: 27
354,Banette,Insomnia,Shadow Claw,Sucker Punch,Taunt,Grudge,11,270,267,150,223,163,167,Mild,,,,Banette: 11
355,Duskull,Levitate,Night Shade,Confuse Ray,Will-O-Wisp,Curse,27,198,119,256,113,233,103,Bold,,,,Duskull: 27
356,Dusclops,Pressure,Shadow Punch,Ice Punch,Curse,Trick Room,11,222,177,297,157,297,87,Quirky,,,,Dusclops: 11
357,Tropius,Solar Power,Solar Beam,Air Slash,Sunny Day,Synthesis,11,340,155,203,199,211,139,Modest,,,,Tropius: 11
